segment_id	segment_text
pli-tv-bu-vb-as1:0.1	Theravāda Collection on Monastic Law 
pli-tv-bu-vb-as1:0.2	The monks’ rules and their analysis 
pli-tv-bu-vb-as1:0.3	The settling of legal issues 
pli-tv-bu-vb-as1:1.1	Venerables, these seven principles for the settling of legal issues come up for recitation. 
pli-tv-bu-vb-as1:2.1	“For the settling and resolving of legal issues whenever they arise there is: 
pli-tv-bu-vb-as1:2.2	Resolution face-to-face to be applied; 
pli-tv-bu-vb-as2:1.1	Resolution through recollection to be granted; 
pli-tv-bu-vb-as3:1.1	Resolution because of past insanity to be granted; 
pli-tv-bu-vb-as4:1.1	Acting according to what has been admitted; 
pli-tv-bu-vb-as5:1.1	Majority decision; 
pli-tv-bu-vb-as6:1.1	Further penalty; 
pli-tv-bu-vb-as7:1.1	Covering over as if with grass. 
pli-tv-bu-vb-as7:2.1	Venerables, the seven principles for the settling of legal issues have been recited. 
pli-tv-bu-vb-as7:2.2	In regard to this I ask you, 
pli-tv-bu-vb-as7:2.3	‘Are you pure in this?’ 
pli-tv-bu-vb-as7:2.4	A second time I ask, 
pli-tv-bu-vb-as7:2.5	‘Are you pure in this?’ 
pli-tv-bu-vb-as7:2.6	A third time I ask, 
pli-tv-bu-vb-as7:2.7	‘Are you pure in this?’ 
pli-tv-bu-vb-as7:2.8	You are pure in this and therefore silent. I will remember it thus.” 
pli-tv-bu-vb-as7:3.1	The seven principles for the settling of legal issues are finished. 
pli-tv-bu-vb-as7:4.1	“Venerables, the introduction has been recited; 
pli-tv-bu-vb-as7:4.2	the four rules on expulsion have been recited; 
pli-tv-bu-vb-as7:4.3	the thirteen rules on suspension have been recited; 
pli-tv-bu-vb-as7:4.4	the two undetermined rules have been recited; 
pli-tv-bu-vb-as7:4.5	the thirty rules on relinquishment and confession have been recited; 
pli-tv-bu-vb-as7:4.6	the ninety-two rules on confession have been recited; 
pli-tv-bu-vb-as7:4.7	the four rules on acknowledgment have been recited; 
pli-tv-bu-vb-as7:4.8	the rules to be trained in have been recited; 
pli-tv-bu-vb-as7:4.9	the seven principles for the settling of legal issues have been recited. 
pli-tv-bu-vb-as7:4.10	This much has come down and is included in the Monastic Code of the Buddha and comes up for recitation every half-month. 
pli-tv-bu-vb-as7:4.11	In regard to this everyone should train in unity, in concord, without dispute.” 
pli-tv-bu-vb-as7:5.1	The monks’ rules and their analysis is finished.
pli-tv-bu-vb-ay1:0.1	Theravāda Collection on Monastic Law 
pli-tv-bu-vb-ay1:0.2	The monks’ rules and their analysis 
pli-tv-bu-vb-ay1:0.3	The chapter on undetermined offenses 
pli-tv-bu-vb-ay1:0.4	1. The first undetermined training rule 
pli-tv-bu-vb-ay1:0.5	Venerables, these two undetermined rules come up for recitation. 
pli-tv-bu-vb-ay1:1.0	Origin story 
pli-tv-bu-vb-ay1:1.1	At one time the Buddha was staying at Sāvatthī in the Jeta Grove, Anāthapiṇḍika’s Monastery. 
pli-tv-bu-vb-ay1:1.2	At that time Venerable Udāyī was associating with and visiting a number of families in Sāvatthī. 
pli-tv-bu-vb-ay1:1.3	On one occasion one of the families that supported him gave their daughter in marriage to the son of another family. 
pli-tv-bu-vb-ay1:1.4	Soon afterwards Venerable Udāyī robed up in the morning, took his bowl and robe, and went to the first of those families. When he arrived, he asked 
pli-tv-bu-vb-ay1:1.5	where the daughter was, 
pli-tv-bu-vb-ay1:1.6	and he was told 
pli-tv-bu-vb-ay1:1.7	that she had been given to another family. 
pli-tv-bu-vb-ay1:1.8	That family too supported Udāyī. 
pli-tv-bu-vb-ay1:1.9	He then went there and again asked 
pli-tv-bu-vb-ay1:1.10	where the girl was. 
pli-tv-bu-vb-ay1:1.11	They said, 
pli-tv-bu-vb-ay1:1.12	“She’s sitting in her room.” 
pli-tv-bu-vb-ay1:1.13	He went up to that girl, and the two of them sat down alone on a private and concealed seat suitable for action. When they were able, they chatted; otherwise he gave her a teaching. 
pli-tv-bu-vb-ay1:1.14	At that time Visākhā Migāramātā had many healthy children and grandchildren. As a consequence, she was considered auspicious. 
pli-tv-bu-vb-ay1:1.15	At sacrifices, ceremonies, and celebrations people would feed Visākhā first. 
pli-tv-bu-vb-ay1:1.16	Just then she had been invited to that family that supported Udāyī. 
pli-tv-bu-vb-ay1:1.17	When she arrived, she saw him sitting alone with that girl, 
pli-tv-bu-vb-ay1:1.18	and she said to him, 
pli-tv-bu-vb-ay1:1.19	“Venerable, it’s not appropriate for you to sit alone with a woman on a private and concealed seat suitable for action. 
pli-tv-bu-vb-ay1:1.20	You may not be aiming at that act, but it’s hard to convince people with little confidence.” 
pli-tv-bu-vb-ay1:1.21	But Udāyī did not listen. 
pli-tv-bu-vb-ay1:1.22	After leaving, Visākhā told the monks what had happened. 
pli-tv-bu-vb-ay1:1.23	The monks of few desires complained and criticized him, 
pli-tv-bu-vb-ay1:1.24	“How could Venerable Udāyī sit alone with a woman on a private and concealed seat suitable for action?” 
pli-tv-bu-vb-ay1:1.25	After rebuking Udāyī in many ways, they told the Buddha. Soon afterwards he had the Sangha gathered and questioned Udāyī: 
pli-tv-bu-vb-ay1:1.26	“Is it true, Udāyī, that you did this?” 
pli-tv-bu-vb-ay1:1.27	“It’s true, Sir.” 
pli-tv-bu-vb-ay1:1.28	The Buddha rebuked him … 
pli-tv-bu-vb-ay1:1.29	“Foolish man, how could you do this? 
pli-tv-bu-vb-ay1:1.30	This won’t give rise to or increase people’s confidence … 
pli-tv-bu-vb-ay1:1.31	And, monks, this training rule should be recited like this: 
pli-tv-bu-vb-ay1:1.32.0	Final ruling 
pli-tv-bu-vb-ay1:1.32.1	‘If a monk sits alone with a woman on a private and concealed seat suitable for action, and a trustworthy female lay follower sees him 
pli-tv-bu-vb-ay1:1.33	and accuses him of an offense entailing expulsion, an offense entailing suspension, or an offense entailing confession, 
pli-tv-bu-vb-ay1:1.34	then, if he admits to the sitting, he is to be dealt with according to one of these three 
pli-tv-bu-vb-ay1:1.35	or according to what that trustworthy female lay follower has said. 
pli-tv-bu-vb-ay1:1.36	This rule is undetermined.’” 
pli-tv-bu-vb-ay1:2.1.0	Definitions 
pli-tv-bu-vb-ay1:2.1.1	A: 
pli-tv-bu-vb-ay1:2.1.2	whoever … 
pli-tv-bu-vb-ay1:2.1.3	Monk: 
pli-tv-bu-vb-ay1:2.1.4	… The monk who has been given the full ordination by a unanimous Sangha through a legal procedure consisting of one motion and three announcements that is irreversible and fit to stand—this sort of monk is meant in this case. 
pli-tv-bu-vb-ay1:2.1.5	A woman: 
pli-tv-bu-vb-ay1:2.1.6	a human female, not a female spirit, not a female ghost, not a female animal; even a girl born that very day, let alone an older one. 
pli-tv-bu-vb-ay1:2.1.7	With: 
pli-tv-bu-vb-ay1:2.1.8	together. 
pli-tv-bu-vb-ay1:2.1.9	Alone: 
pli-tv-bu-vb-ay1:2.1.10	just the monk and the woman. 
pli-tv-bu-vb-ay1:2.1.11	Private: 
pli-tv-bu-vb-ay1:2.1.12	there is private to the eye and there is private to the ear. 
pli-tv-bu-vb-ay1:2.1.13	Private to the eye: 
pli-tv-bu-vb-ay1:2.1.14	one is unable to see them winking, raising an eyebrow, or nodding. 
pli-tv-bu-vb-ay1:2.1.15	Private to the ear: 
pli-tv-bu-vb-ay1:2.1.16	one is unable to hear ordinary speech. 
pli-tv-bu-vb-ay1:2.1.17	Concealed seat: 
pli-tv-bu-vb-ay1:2.1.18	it is concealed by a wall, a screen, a door, a cloth screen, a tree, a pillar, a grain container, or anything else. 
pli-tv-bu-vb-ay1:2.1.19	Suitable for action: 
pli-tv-bu-vb-ay1:2.1.20	one is able to have sexual intercourse. 
pli-tv-bu-vb-ay1:2.1.21	Sits: 
pli-tv-bu-vb-ay1:2.1.22	the monk sits down or lies down next to the seated woman. 
pli-tv-bu-vb-ay1:2.1.23	The woman sits down or lies down next to the seated monk. 
pli-tv-bu-vb-ay1:2.1.24	Both are seated or both are lying down. 
pli-tv-bu-vb-ay1:2.1.25	Trustworthy: 
pli-tv-bu-vb-ay1:2.1.26	she has attained the fruit, she has broken through, she has understood the Teaching. 
pli-tv-bu-vb-ay1:2.1.27	Female lay follower: 
pli-tv-bu-vb-ay1:2.1.28	she has gone for refuge to the Buddha, the Teaching, and the Sangha. 
pli-tv-bu-vb-ay1:2.1.29	Sees: 
pli-tv-bu-vb-ay1:2.1.30	having seen. 
pli-tv-bu-vb-ay1:2.2.1	If she accuses him of an offense entailing expulsion, an offense entailing suspension, or an offense entailing confession, 
pli-tv-bu-vb-ay1:2.2.2	then, if he admits to the sitting, he is to be dealt with according to one of these three 
pli-tv-bu-vb-ay1:2.2.3	or according to what that trustworthy female lay follower has said: 
pli-tv-bu-vb-ay1:2.2.4	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.5	“I’ve seen you seated, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.6	and he admits to that, then he is to be dealt with for the offense. 
pli-tv-bu-vb-ay1:2.2.7	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.8	“I’ve seen you seated, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.9	but he says, 
pli-tv-bu-vb-ay1:2.2.10	“It’s true that I was seated, but I didn’t have sexual intercourse,” 
pli-tv-bu-vb-ay1:2.2.11	then he is to be dealt with for the sitting. 
pli-tv-bu-vb-ay1:2.2.12	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.13	“I’ve seen you seated, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.14	but he says, 
pli-tv-bu-vb-ay1:2.2.15	“I wasn’t seated, but lying down,” 
pli-tv-bu-vb-ay1:2.2.16	then he is to be dealt with for the lying down. 
pli-tv-bu-vb-ay1:2.2.17	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.18	“I’ve seen you seated, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.19	but he says, 
pli-tv-bu-vb-ay1:2.2.20	“I wasn’t seated, but standing,” 
pli-tv-bu-vb-ay1:2.2.21	then he is not to be dealt with. 
pli-tv-bu-vb-ay1:2.2.22	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.23	“I’ve seen you lying down, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.24	and he admits to that, then he is to be dealt with for the offense. 
pli-tv-bu-vb-ay1:2.2.25	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.26	“I’ve seen you lying down, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.27	but he says, 
pli-tv-bu-vb-ay1:2.2.28	“It’s true that I was lying down, but I didn’t have sexual intercourse,” 
pli-tv-bu-vb-ay1:2.2.29	then he is to be dealt with for the lying down. 
pli-tv-bu-vb-ay1:2.2.30	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.31	“I’ve seen you lying down, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.32	but he says, 
pli-tv-bu-vb-ay1:2.2.33	“I wasn’t lying down, but seated,” 
pli-tv-bu-vb-ay1:2.2.34	then he is to be dealt with for the sitting. 
pli-tv-bu-vb-ay1:2.2.35	If she accuses him like this: 
pli-tv-bu-vb-ay1:2.2.36	“I’ve seen you lying down, having sexual intercourse with a woman,” 
pli-tv-bu-vb-ay1:2.2.37	but he says, 
pli-tv-bu-vb-ay1:2.2.38	“I wasn’t lying down, but standing,” 
pli-tv-bu-vb-ay1:2.2.39	then he is not to be dealt with. 
pli-tv-bu-vb-ay1:2.2.40	If she accuses him like this: 
