segment_id	segment_text
pli-tv-kd10:0.1	Theravāda Collection on Monastic Law 
pli-tv-kd10:0.2	The Long Division 
pli-tv-kd10:0.3	The chapter on those from Kosambī 
pli-tv-kd10:0.4	1. The account of the dispute at Kosambī 
pli-tv-kd10:1.1.1	At one time the Buddha was staying at Kosambī in Ghosita’s Monastery. 
pli-tv-kd10:1.1.2	At this time a certain monk had committed an offense. 
pli-tv-kd10:1.1.3	He regarded that offense as an offense, 
pli-tv-kd10:1.1.4	but there were other monks who did not. 
pli-tv-kd10:1.1.5	Some time later he no longer regarded it as an offense, 
pli-tv-kd10:1.1.6	but there were other monks who did. 
pli-tv-kd10:1.1.7	They said to him, 
pli-tv-kd10:1.1.8	“You have committed an offense. Do you recognize it?” 
pli-tv-kd10:1.1.9	“I haven’t committed any offense that I should recognize.” 
pli-tv-kd10:1.1.10	Soon afterwards the monks achieved unanimity and they ejected that monk for not recognizing the offense. 
pli-tv-kd10:1.2.1	But that monk was learned and a master of the tradition; he was an expert on the Teaching, the Monastic Law, and the summaries; he was knowledgeable and competent, had a sense of conscience, and was afraid of wrongdoing and fond of the training. 
pli-tv-kd10:1.2.2	He went to his friends and said, 
pli-tv-kd10:1.2.3	“This isn’t an offense 
pli-tv-kd10:1.2.4	and so I haven’t committed one. 
pli-tv-kd10:1.2.5	I haven’t been ejected, 
pli-tv-kd10:1.2.6	since the legal procedure was illegitimate, reversible, and unfit to stand. 
pli-tv-kd10:1.2.7	Please side with me, Venerables, in accordance with the Teaching and the Monastic Law.” 
pli-tv-kd10:1.2.8	And he was able to form a faction. 
pli-tv-kd10:1.2.9	He then sent the same message to his friends in the country 
pli-tv-kd10:1.2.15	and again he was able to form a faction. 
pli-tv-kd10:1.3.1	The monks who sided with him went to the monks who had ejected him and said, 
pli-tv-kd10:1.3.2	“This isn’t an offense 
pli-tv-kd10:1.3.3	and so this monk hasn’t committed one. 
pli-tv-kd10:1.3.4	He hasn’t been ejected, 
