segment_id	segment_text	discourse	paragraph_id	sentence_id	nikaya	discourse_num	sutta_title
sn1.1:1.1	So I have heard.	sn1.1	1	1	sn	1.1	 Crossing the Flood 
sn1.1:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s Monastery.	sn1.1	1	2	sn	1.1	 Crossing the Flood 
sn1.1:1.3	Then, late at night, a glorious deity, lighting up the entire Jeta’s Grove, went up to the Buddha, bowed, stood to one side, and said to him,	sn1.1	1	3	sn	1.1	 Crossing the Flood 
sn1.1:1.4	“Good sir, how did you cross the pond?”	sn1.1	1	4	sn	1.1	 Crossing the Flood 
sn1.1:1.5	“Neither standing nor swimming, sir, I crossed the flood.”	sn1.1	1	5	sn	1.1	 Crossing the Flood 
sn1.1:1.6	“But in what way did you cross the flood neither standing nor swimming?”	sn1.1	1	6	sn	1.1	 Crossing the Flood 
sn1.1:1.7	“When I stood still, I went under.	sn1.1	1	7	sn	1.1	 Crossing the Flood 
sn1.1:1.8	And when I swam, I was swept away.	sn1.1	1	8	sn	1.1	 Crossing the Flood 
sn1.1:1.9	That’s how I crossed the flood neither standing nor swimming.”	sn1.1	1	9	sn	1.1	 Crossing the Flood 
sn1.1:2.1	“After a long time I see	sn1.1	2	1	sn	1.1	 Crossing the Flood 
sn1.1:2.2	a brahmin extinguished.	sn1.1	2	2	sn	1.1	 Crossing the Flood 
sn1.1:2.3	Neither standing nor swimming,	sn1.1	2	3	sn	1.1	 Crossing the Flood 
sn1.1:2.4	he’s crossed over clinging to the world.”	sn1.1	2	4	sn	1.1	 Crossing the Flood 
sn1.1:3.1	This is what that deity said,	sn1.1	3	1	sn	1.1	 Crossing the Flood 
sn1.1:3.2	and the teacher approved.	sn1.1	3	2	sn	1.1	 Crossing the Flood 
sn1.1:3.4	Then that deity, knowing that the teacher approved, bowed and respectfully circled the Buddha, keeping him on his right, before vanishing right there.	sn1.1	3	4	sn	1.1	 Crossing the Flood 
sn1.2:1.1	At Sāvatthī.	sn1.2	1	1	sn	1.2	 Liberation 
sn1.2:1.2	Then, late at night, a glorious deity, lighting up the entire Jeta’s Grove, went up to the Buddha, bowed, stood to one side, and said to him,	sn1.2	1	2	sn	1.2	 Liberation 
sn1.2:2.1	“Good sir, do you understand liberation, emancipation, and seclusion for sentient beings?”	sn1.2	2	1	sn	1.2	 Liberation 
sn1.2:3.1	“I do, sir.”	sn1.2	3	1	sn	1.2	 Liberation 
sn1.2:4.1	“But how is it that you understand liberation, emancipation, and seclusion for sentient beings?”	sn1.2	4	1	sn	1.2	 Liberation 
sn1.2:5.1	“With the ending of relish for rebirth,	sn1.2	5	1	sn	1.2	 Liberation 
sn1.2:5.2	the finishing of perception and consciousness,	sn1.2	5	2	sn	1.2	 Liberation 
sn1.2:5.3	and the cessation and stilling of feelings:	sn1.2	5	3	sn	1.2	 Liberation 
sn1.2:5.4	that, sir, is how I understand liberation,	sn1.2	5	4	sn	1.2	 Liberation 
sn1.2:5.5	emancipation, and seclusion for sentient beings.”	sn1.2	5	5	sn	1.2	 Liberation 
sn1.3:1.1	At Sāvatthī.	sn1.3	1	1	sn	1.3	 Led On 
sn1.3:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	sn1.3	1	2	sn	1.3	 Led On 
sn1.3:2.1	“This life, so very short, is led onward;	sn1.3	2	1	sn	1.3	 Led On 
sn1.3:2.2	one led on to old age has no shelter.	sn1.3	2	2	sn	1.3	 Led On 
sn1.3:2.3	Seeing this peril in death,	sn1.3	2	3	sn	1.3	 Led On 
sn1.3:2.4	do good deeds that bring you to joy.”	sn1.3	2	4	sn	1.3	 Led On 
sn1.3:3.1	“This life, so very short, is led onward;	sn1.3	3	1	sn	1.3	 Led On 
sn1.3:3.2	one led on to old age has no shelter.	sn1.3	3	2	sn	1.3	 Led On 
sn1.3:3.3	Seeing this peril in death,	sn1.3	3	3	sn	1.3	 Led On 
