word	id	name	desc	word_trans	pts_ref	seg_id
akaniṭṭhā	Akaniṭṭhā	Akaniṭṭhā	<dd><p>A class of devas, living in the highest of the five Suddhāvasā (Pure Abodes). <span class='ref'>DN.iii.237</span></p><p>In the Mahāpadāna Sutta <span class='ref'>DN.ii.52<em>f.</em></span> the Buddha mentions that he visited their abode and conversed with beings who were born there as a result of the holy lives they had lived under various Buddhas.</p><p>In the Sakkapañha Sutta, <span class='ref'>DN.ii.286</span> Sakka speaks of them as the highest devas, and expresses his satisfaction that he, too, will be born among them in his last life.</p></dd>	akanittha	DN.iii.237	DN.iii.237
akaniṭṭhā	Akaniṭṭhā	Akaniṭṭhā	<dd><p>A class of devas, living in the highest of the five Suddhāvasā (Pure Abodes). <span class='ref'>DN.iii.237</span></p><p>In the Mahāpadāna Sutta <span class='ref'>DN.ii.52<em>f.</em></span> the Buddha mentions that he visited their abode and conversed with beings who were born there as a result of the holy lives they had lived under various Buddhas.</p><p>In the Sakkapañha Sutta, <span class='ref'>DN.ii.286</span> Sakka speaks of them as the highest devas, and expresses his satisfaction that he, too, will be born among them in his last life.</p></dd>	akanittha	DN.ii.52<em>f.</em>	DN.ii.52
akaniṭṭhā	Akaniṭṭhā	Akaniṭṭhā	<dd><p>A class of devas, living in the highest of the five Suddhāvasā (Pure Abodes). <span class='ref'>DN.iii.237</span></p><p>In the Mahāpadāna Sutta <span class='ref'>DN.ii.52<em>f.</em></span> the Buddha mentions that he visited their abode and conversed with beings who were born there as a result of the holy lives they had lived under various Buddhas.</p><p>In the Sakkapañha Sutta, <span class='ref'>DN.ii.286</span> Sakka speaks of them as the highest devas, and expresses his satisfaction that he, too, will be born among them in his last life.</p></dd>	akanittha	DN.ii.286	DN.ii.286
aggikabhāradvāja	Aggikabhāradvāja1	Aggikabhāradvāja	<dd><p>A brahmin of Sāvatthī, of the Bhāradvāja clan. The Buddha, while on his rounds, sees him tending the fire and preparing oblations, and stands for alms in front of his house. The brahmin abuses him, calling him <i>muṇḍaka</i> and <i>vasala</i>. Thereupon the Buddha preaches to him the Vasala Sutta (or, as it is sometimes called, the Aggika Bhāradvāja Sutta), and wins him over to the faith. <span class='ref'>Snp.21–25</span></p></dd>	aggikabharadvaja	Snp.21–25	Snp.21
aggikabhāradvāja	Aggikabhāradvāja2	Aggikabhāradvāja	<dd><p>A brahmin of Rājagaha, a fire-tender. He prepares a meal for sacrifice, and when the Buddha, out of compassion for him, appears before his house for alms, he says the meal is meant only for one who has the “threefold lore” (the three Vedas). The Buddha gives the brahmin another interpretation of the “threefold lore”; (see Aggika Sutta). The brahmin, thereupon, becomes a convert, enters the Order, and, in due course, attains arahantship. <span class='ref'>SN.i.166<em>f.</em></span></p></dd>	aggikabharadvaja	SN.i.166<em>f.</em>	SN.i.166
aggidatta	Aggidatta	Aggidatta	<dd><p>A brahmin of Khemavatī, father of the Buddha Kakusandha. His wife was named Visākhā. <span class='ref'>DN.ii.7</span></p></dd>	aggidatta	DN.ii.7	DN.ii.7
aggivessana	Aggivessana	Aggivessana	<dd><p>Probably the name of a brahmin clan, the Agnivesyāyanas, and the Ksatriyas who were so styled, took the name from their brahmin priests.</p><p>The name is used by the Buddha in addressing Saccaka Nigaṇṭhaputta, <span class='ref'>MN.i.229<em>f.</em></span> <span class='ref'>MN.i.237<em>f.</em></span> and also Dīghanakha Paribbājaka. <span class='ref'>MN.i.497<em>f.</em></span></p><p>In the Dantabhūmi Sutta <span class='ref'>MN.iii.128<em>f.</em></span> the novice Aciravata is thus addressed by Prince Jayasena, who visits him, and also by the Buddha.</p></dd>	aggivessana	MN.i.229<em>f.</em>	MN.i.229
aggivessana	Aggivessana	Aggivessana	<dd><p>Probably the name of a brahmin clan, the Agnivesyāyanas, and the Ksatriyas who were so styled, took the name from their brahmin priests.</p><p>The name is used by the Buddha in addressing Saccaka Nigaṇṭhaputta, <span class='ref'>MN.i.229<em>f.</em></span> <span class='ref'>MN.i.237<em>f.</em></span> and also Dīghanakha Paribbājaka. <span class='ref'>MN.i.497<em>f.</em></span></p><p>In the Dantabhūmi Sutta <span class='ref'>MN.iii.128<em>f.</em></span> the novice Aciravata is thus addressed by Prince Jayasena, who visits him, and also by the Buddha.</p></dd>	aggivessana	MN.i.237<em>f.</em>	MN.i.237
aggivessana	Aggivessana	Aggivessana	<dd><p>Probably the name of a brahmin clan, the Agnivesyāyanas, and the Ksatriyas who were so styled, took the name from their brahmin priests.</p><p>The name is used by the Buddha in addressing Saccaka Nigaṇṭhaputta, <span class='ref'>MN.i.229<em>f.</em></span> <span class='ref'>MN.i.237<em>f.</em></span> and also Dīghanakha Paribbājaka. <span class='ref'>MN.i.497<em>f.</em></span></p><p>In the Dantabhūmi Sutta <span class='ref'>MN.iii.128<em>f.</em></span> the novice Aciravata is thus addressed by Prince Jayasena, who visits him, and also by the Buddha.</p></dd>	aggivessana	MN.i.497<em>f.</em>	MN.i.497
aggivessana	Aggivessana	Aggivessana	<dd><p>Probably the name of a brahmin clan, the Agnivesyāyanas, and the Ksatriyas who were so styled, took the name from their brahmin priests.</p><p>The name is used by the Buddha in addressing Saccaka Nigaṇṭhaputta, <span class='ref'>MN.i.229<em>f.</em></span> <span class='ref'>MN.i.237<em>f.</em></span> and also Dīghanakha Paribbājaka. <span class='ref'>MN.i.497<em>f.</em></span></p><p>In the Dantabhūmi Sutta <span class='ref'>MN.iii.128<em>f.</em></span> the novice Aciravata is thus addressed by Prince Jayasena, who visits him, and also by the Buddha.</p></dd>	aggivessana	MN.iii.128<em>f.</em>	MN.iii.128
