sutta,character,character_id,presence,role,type,aliases
mn1,Buddha,Buddha,present,teacher,buddha,
mn2,Buddha,Buddha,present,teacher,buddha,
mn3,Buddha,Buddha,present,teacher,buddha,
mn3,Sāriputta,Sāriputta,present,teacher,enlightened monk,
mn4,Buddha,Buddha,present,teacher,buddha,
mn4,Jāṇussoṇi,Jāṇussoṇi,present,speaker,male lay follower,
mn5,Buddha,Buddha,mentioned,,buddha,
mn5,Sāriputta,Sāriputta,present,teacher,enlightened monk,
mn5,Mahāmoggallāna,Mahāmoggallāna,present,speaker,enlightened monk,Moggallāna
mn5,Samīti,Samīti,mentioned,,,
mn5,Paṇḍuputta,Paṇḍuputta,mentioned,speaker,,
mn6,Buddha,Buddha,present,teacher,,
mn7,Buddha,Buddha,present,teacher,,
mn7,Sundarika Bhāradvāja,Sundarika,present,speaker,,
mn8,Buddha,Buddha,present,teacher,,
mn8,Mahācunda,Cunda2,present,speaker,,
mn9,Buddha,Buddha,mentioned,,,
mn9,Sāriputta,Sāriputta,present,teacher,,
mn10,Buddha,Buddha,present,teacher,,
mn11,Buddha,Buddha,present,teacher,,
mn12,Buddha,Buddha,present,teacher,,
mn12,Sunakkhatta,Sunakkhatta,mentioned,speaker,,
mn12,Sāriputta,Sāriputta,present,listener,,
mn12,Nāgasamāla,Nāgasamāla,present,speaker,,
mn13,Buddha,Buddha,present,teacher,,
mn14,Buddha,Buddha,present,teacher,,
mn14,Mahānāma,Mahānāma1,present,speaker,,
mn14,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,speaker,,
mn14,Bimbisāra,Bimbisāra,mentioned,,,
mn15,Mahāmoggallāna,Mahāmoggallāna,present,teacher,,Moggallāna
mn16,Buddha,Buddha,present,teacher,,
mn17,Buddha,Buddha,present,teacher,,
mn18,Buddha,Buddha,present,teacher,,
mn18,Daṇḍapāṇi,Daṇḍapāṇi,present,speaker,,
mn18,Mahākaccāna,Mahākaccāyana,present,teacher,,
mn18,Ānanda,Ānanda,present,speaker,,
mn19,Buddha,Buddha,present,teacher,,
mn19,Māra,Māra,mentioned,,,
mn20,Buddha,Buddha,present,teacher,,
mn21,Buddha,Buddha,present,teacher,,
mn21,Phagguna,Phagguna,present,speaker,,
mn21,Vedehikā,Vedehikā,mentioned,speaker,,
mn21,Kāḷī,Kāḷī2,mentioned,speaker,,
mn22,Buddha,Buddha,present,teacher,,
mn22,Ariṭṭha,Ariṭṭha1,present,speaker,,
mn22,Indra,Inda2,mentioned,,,
mn22,Brahmā,,mentioned,,,
mn22,Pajāpati,Pajāpati,mentioned,,,
mn23,Buddha,Buddha,present,teacher,,
mn23,Kassapa the Prince,Kumārakassapa,present,speaker,,
mn24,Buddha,Buddha,present,speaker,,
mn24,Puṇṇa Mantāṇiputta,Puṇṇa3,present,teacher,,
mn24,Sāriputta,Sāriputta,present,speaker,,
mn24,Pasenadi,Pasenadi,mentioned,,,
mn25,Buddha,Buddha,present,teacher,,
mn25,Māra,Māra,mentioned,,,
mn26,Buddha,Buddha,present,teacher,,
mn26,Ānanda,Ānanda,present,speaker,,
mn26,Āḷāra Kālāma,Āḷārakālāma,mentioned,speaker,,Kālāma
mn26,Uddaka,Uddaka,mentioned,speaker,,
mn26,Rāma,,mentioned,,,
mn26,Sahampati,Sahampati,mentioned,speaker,,
mn26,Upaka,Upaka1,mentioned,speaker,,
mn26,Māra,Māra,mentioned,,,
mn26,Koṇḍañña,Aññātakoṇḍañña,mentioned,,,
mn26,Bhaddiya,,,,,
mn26,Vappa,Vappa1,mentioned,,,
mn26,Mahānāma,,mentioned,,,
mn26,Assaji,Assaji1,mentioned,,,
mn27,Buddha,Buddha,present,teacher,,
mn27,Jāṇussoṇi,Jāṇussoṇi,present,speaker,,
mn27,Pilotika,Pilotika,present,speaker,,
mn28,Buddha,Buddha,mentioned,,,
mn28,Sāriputta,Sāriputta,present,teacher,,
mn29,Buddha,Buddha,present,teacher,,
mn29,Devadatta,Devadatta,mentioned,,,
mn30,Buddha,Buddha,present,teacher,,
mn30,Piṅgalakoccha,Piṅgalakoccha,present,speaker,,
mn30,Pūraṇa Kassapa,Pūraṇa Kassapa,mentioned,,,
mn30,Makkhali Gosāla,Makkhali,mentioned,,,
mn30,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,,,
mn30,Sañjaya Belaṭṭhiputta,Sañjaya3,mentioned,,,
mn30,Pakudha Kaccāyana,Pakudha,mentioned,,,
mn30,Ajita Kesakambala,Ajitakesakambala,mentioned,,,
mn31,Buddha,Buddha,present,teacher,,
mn31,Anuruddha,Anuruddha,present,speaker,,
mn31,Nandiya,Nandiya1,present,speaker,,
mn31,Kimbila,Kimbila,present,speaker,,
mn31,Dīgha Parajana,,present,speaker,,
mn32,Buddha,Buddha,present,speaker,,
mn32,Sāriputta,Sāriputta,present,speaker,,
mn32,Mahāmoggallāna,Mahāmoggallāna,present,speaker,,Moggallāna
mn32,Mahākassapa,Mahākassapa,present,speaker,,
mn32,Anuruddha,Anuruddha,present,speaker,,
mn32,Revata,Revata1,present,speaker,,
mn32,Ānanda,Ānanda,present,speaker,,
mn33,Buddha,Buddha,present,teacher,,
mn34,Buddha,Buddha,present,teacher,,
mn34,Māra,Māra,mentioned,,,
mn35,Buddha,Buddha,present,teacher,,
mn35,Saccaka,,present,speaker,,
mn35,Assaji,Assaji1,present,speaker,,
mn35,Pasenadi,Pasenadi,mentioned,,,
mn35,Ajātasattu,Ajātasattu,mentioned,,,
mn35,Vajirapāṇi,Vajirapāṇi,present,listener,,
mn35,Dummukha,Dummukha,present,speaker,,
mn36,Buddha,Buddha,present,teacher,,
mn36,Saccaka,,present,speaker,,
mn36,Ānanda,Ānanda,present,speaker,,
mn36,Nanda Vaccha,,mentioned,,,
mn36,Kisa Saṅkicca,,mentioned,,,
mn36,Āḷāra Kālāma,,mentioned,speaker,,Kālāma
mn36,Uddaka,,mentioned,speaker,,
mn36,Rāma,,mentioned,speaker,,
mn36,Suddhodana,Suddhodana,mentioned,,,
mn36,Koṇḍañña,Aññātakoṇḍañña,mentioned,,,
mn36,Bhaddiya,,,,,
mn36,Vappa,Vappa1,mentioned,,,
mn36,Mahānāma,,mentioned,,,
mn36,Assaji,Assaji1,mentioned,,,
mn36,Pūraṇa Kassapa,Pūraṇa Kassapa,mentioned,,,
mn36,Makkhali Gosāla,Makkhali,mentioned,,,
mn36,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,,,
mn36,Sañjaya Belaṭṭhiputta,Sañjaya3,mentioned,,,
mn36,Pakudha Kaccāyana,Pakudha,mentioned,,,
mn36,Ajita Kesakambala,Ajitakesakambala,mentioned,,,
mn37,Buddha,Buddha,present,teacher,,
mn37,Sakka,Sakka,present,speaker,,
mn37,Mahāmoggallāna,Mahāmoggallāna,present,speaker,,Moggallāna
mn37,Vessavaṇa,,present,listener,,
mn38,Buddha,Buddha,present,teacher,,
mn38,Sāti,Sāti,present,speaker,,
mn39,Buddha,Buddha,present,teacher,,
mn40,Buddha,Buddha,present,teacher,,
mn41,Buddha,Buddha,present,teacher,,
mn42,Buddha,Buddha,present,teacher,,
mn43,Buddha,Buddha,present,,,
mn43,Mahākoṭṭhita,Mahākoṭṭhita,present,speaker,,
mn43,Sāriputta,Sāriputta,present,teacher,,
mn44,Buddha,Buddha,present,speaker,,
mn44,Visākha,Visakha1,present,speaker,,
mn44,Dhammadinnā,Dhammadinnā,present,teacher,,
mn45,Buddha,Buddha,present,teacher,,
mn46,Buddha,Buddha,present,teacher,,
mn47,Buddha,Buddha,present,teacher,,
mn48,Buddha,Buddha,present,teacher,,
mn49,Buddha,Buddha,present,teacher,,
mn49,Baka,Baka,present,speaker,,
mn49,Māra,Māra,present,speaker,,
mn50,Mahāmoggallāna,Mahāmoggallāna,present,speaker,,Moggallāna
mn50,Māra,Māra,present,speaker,,
mn50,Dūsī,Dūsī,mentioned,speaker,,
mn50,Kāḷī,Kāḷī3,mentioned,,,
mn50,Kakusandha,Kakusandha,mentioned,speaker,,
mn50,Vidhura,Vidhura,mentioned,,,
mn50,Sañjīva,Sañjīva,mentioned,,,
mn50,Sakka,Sakka,mentioned,,,
mn50,Brahmā,,mentioned,,,
mn51,Buddha,Buddha,present,teacher,,
mn51,Pessa,Pessa,present,speaker,,
mn51,Kandaraka,Kandaraka,present,speaker,,
mn52,Ānanda,Ānanda,present,teacher,,
mn52,Dasama,Dasama,present,speaker,,
mn53,Buddha,Buddha,present,speaker,,
mn53,Ānanda,Ānanda,present,teacher,,
mn53,Mahānāma,Mahānāma1,present,listener,,
mn53,Sanaṅkumāra,Sanaṅkumāra,mentioned,,,
mn54,Buddha,Buddha,present,teacher,,
mn54,Potaliya,Potaliya,present,speaker,,
mn55,Buddha,Buddha,present,teacher,,
mn55,Jīvaka,Jīvaka,present,speaker,,
mn55,Brahmā,,mentioned,,,
mn56,Buddha,Buddha,present,teacher,,
mn56,Nātaputta,Nigaṇṭha Nāṭaputta,present,speaker,,
mn56,Tapassī,Dīghatapassī,present,speaker,,
mn56,Upāli,Upāli3,present,speaker,,
mn56,Rattapāṇi,Rattapāṇi,mentioned,speaker,,
mn57,Buddha,Buddha,present,teacher,,
mn57,punna koliyaputta,Puṇṇa2,present,speaker,,
mn57,seniya,Seniya,present,speaker,,
mn58,Buddha,Buddha,present,teacher,,
mn58,prince abhaya,Abhaya2,present,speaker,,
mn58,Nātaputta,Nigaṇṭha Nāṭaputta,present,speaker,,
mn58,devadatta,Devadatta,mentioned,,,
mn59,Buddha,Buddha,present,teacher,,
mn59,pancakanga,Pañcakaṅga,present,speaker,,
mn59,udayi,Udāyī1,present,speaker,,
mn59,Ānanda,Ānanda,present,speaker,,
mn60,Buddha,Buddha,present,teacher,,
mn61,Buddha,Buddha,present,teacher,,
mn61,rahula,Rāhula,present,speaker,,
mn62,Buddha,Buddha,present,teacher,,
mn62,rahula,Rāhula,present,speaker,,
mn62,Sāriputta,Sāriputta,present,speaker,,
mn63,Buddha,Buddha,present,teacher,,
mn63,malunkya,Māluṅkyāputta,present,speaker,,
mn64,Buddha,Buddha,present,teacher,,
mn64,malunkya,Māluṅkyāputta,present,speaker,,
mn64,Ānanda,Ānanda,present,speaker,,
mn65,Buddha,Buddha,present,teacher,,
mn65,bhaddali,Bhaddāli,present,speaker,,
mn66,Buddha,Buddha,present,teacher,,
mn66,udayi,Udāyī1,present,speaker,,
mn67,Buddha,Buddha,present,teacher,,
mn67,Sāriputta,Sāriputta,present,speaker,,
mn67,Mahāmoggallāna,Mahāmoggallāna,present,speaker,,Moggallāna
mn67,Ānanda,Ānanda,present,speaker,,
mn67,Sahampati,Sahampati,present,speaker,,
mn68,Buddha,Buddha,present,teacher,,
mn68,anuruddha,Anuruddha,present,speaker,,
mn68,bhaddiya,,present,listener,,
mn68,kimbila,Kimbila,present,listener,,
mn68,bhagu,Bhagu,present,listener,,
mn68,kondanna,Kuṇḍadhāna,present,listener,,
mn68,revata,Revata1,present,listener,,
mn68,Ānanda,Ānanda,present,listener,,
mn69,Buddha,Buddha,mentioned,,,
mn69,gulissani,Gulissāni,mentioned,,,
mn69,Sāriputta,Sāriputta,present,teacher,,
mn69,Mahāmoggallāna,Mahāmoggallāna,present,speaker,,Moggallāna
mn70,Buddha,Buddha,present,teacher,,
mn70,assaji,Assaji2,mentioned,,,
mn70,punabbasuka,Punabbasu2,mentioned,,,
mn71,Buddha,Buddha,present,teacher,,
mn71,vacchagotta,Vacchagotta,present,speaker,,
mn72,Buddha,Buddha,present,teacher,,
mn72,vacchagotta,Vacchagotta,present,speaker,,
mn73,Buddha,Buddha,present,teacher,,
mn73,vacchagotta,Vacchagotta,present,speaker,,
mn74,Buddha,Buddha,present,teacher,,
mn74,dighanaka,Dīghanakha,present,speaker,,
mn74,Sāriputta,Sāriputta,present,speaker,,
mn75,Buddha,Buddha,present,teacher,,
mn75,magandiya,Māgaṇḍiya2,present,speaker,,
mn75,bharadvaja,Bhāradvāja5,present,speaker,,
mn76,Buddha,Buddha,mentioned,,,
mn76,sandaka,Sandaka,present,speaker,,
mn76,Ānanda,Ānanda,present,teacher,,
mn76,nanda vaccha,,mentioned,,,
mn76,kisa sankicca,,mentioned,,,
mn76,makkhali gosala,Makkhali,mentioned,,,
mn77,Buddha,Buddha,present,teacher,,
mn77,annabhara,Annabhāra,mentioned,,,
mn77,varadhara,Varadhara,mentioned,,,
mn77,sakuludayi,Sakuladāyī,present,speaker,,
mn77,Pūraṇa Kassapa,Pūraṇa Kassapa,mentioned,,,
mn77,Makkhali Gosāla,Makkhali,mentioned,,,
mn77,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,,,
mn77,Sañjaya Belaṭṭhiputta,Sañjaya3,mentioned,,,
mn77,Pakudha Kaccāyana,Pakudha,mentioned,,,
mn77,Ajita Kesakambala,Ajitakesakambala,mentioned,,,
mn78,Buddha,Buddha,present,teacher,,
mn78,uggahamana samanamundika,Uggāhamāna,present,speaker,,
mn78,pancakanga,Pañcakaṅga,present,speaker,,
mn79,Buddha,Buddha,present,teacher,,
mn79,sakuludayi,Sakuladāyī,present,speaker,,
mn79,Nātaputta,Nigaṇṭha Nāṭaputta,mentioned,,,
mn80,Buddha,Buddha,present,teacher,,
mn80,vekhanasa,Vekhaṇassa,present,speaker,,
mn81,Buddha,Buddha,present,teacher,,
mn81,Ānanda,Ānanda,present,speaker,,
