segment_id	segment_text
an1.1:0.1	Aṅguttara Nikāya 1
an1.1:0.2	1. Rūpādivagga
an1.1:0.3	1–10
an1.1:1.0	1
an1.1:1.1	Evaṁ me sutaṁ—
an1.1:1.2	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.
an1.1:1.3	Tatra kho bhagavā bhikkhū āmantesi:
an1.1:1.4	“bhikkhavo”ti.
an1.1:1.5	“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.
an1.1:1.6	Bhagavā etadavoca:
an1.1:2.1	“Nāhaṁ, bhikkhave, aññaṁ ekarūpampi samanupassāmi yaṁ evaṁ purisassa cittaṁ pariyādāya tiṭṭhati yathayidaṁ, bhikkhave, itthirūpaṁ.
an1.1:2.2	Itthirūpaṁ, bhikkhave, purisassa cittaṁ pariyādāya tiṭṭhatī”ti.
an1.1:2.3	Paṭhamaṁ.
an1.2:1.0	2
an1.2:1.1	“Nāhaṁ, bhikkhave, aññaṁ ekasaddampi samanupassāmi yaṁ evaṁ purisassa cittaṁ pariyādāya tiṭṭhati yathayidaṁ, bhikkhave, itthisaddo.
an1.2:1.2	Itthisaddo, bhikkhave, purisassa cittaṁ pariyādāya tiṭṭhatī”ti.
an1.2:1.3	Dutiyaṁ.
an1.3:1.0	3
an1.3:1.1	“Nāhaṁ, bhikkhave, aññaṁ ekagandhampi samanupassāmi yaṁ evaṁ purisassa cittaṁ pariyādāya tiṭṭhati yathayidaṁ, bhikkhave, itthigandho.
an1.3:1.2	Itthigandho, bhikkhave, purisassa cittaṁ pariyādāya tiṭṭhatī”ti.
an1.3:1.3	Tatiyaṁ.
an1.4:1.0	4
an1.4:1.1	“Nāhaṁ, bhikkhave, aññaṁ ekarasampi samanupassāmi yaṁ evaṁ purisassa cittaṁ pariyādāya tiṭṭhati yathayidaṁ, bhikkhave, itthiraso.
an1.4:1.2	Itthiraso, bhikkhave, purisassa cittaṁ pariyādāya tiṭṭhatī”ti.
an1.4:1.3	Catutthaṁ.
an1.5:1.0	5
an1.5:1.1	“Nāhaṁ, bhikkhave, aññaṁ ekaphoṭṭhabbampi samanupassāmi yaṁ evaṁ purisassa cittaṁ pariyādāya tiṭṭhati yathayidaṁ, bhikkhave, itthiphoṭṭhabbo.
an1.5:1.2	Itthiphoṭṭhabbo, bhikkhave, purisassa cittaṁ pariyādāya tiṭṭhatī”ti.
an1.5:1.3	Pañcamaṁ.
an1.6:1.0	6
