segment_id	segment_text
dn1:0.1	Dīgha Nikāya 1
dn1:0.2	Brahmajālasutta
dn1:0.3	1. Paribbājakakathā
dn1:1.1.1	Evaṁ me sutaṁ—
dn1:1.1.2	ekaṁ samayaṁ bhagavā antarā ca rājagahaṁ antarā ca nāḷandaṁ addhānamaggappaṭipanno hoti mahatā bhikkhusaṅghena saddhiṁ pañcamattehi bhikkhusatehi.
dn1:1.1.3	Suppiyopi kho paribbājako antarā ca rājagahaṁ antarā ca nāḷandaṁ addhānamaggappaṭipanno hoti saddhiṁ antevāsinā brahmadattena māṇavena.
dn1:1.1.4	Tatra sudaṁ suppiyo paribbājako anekapariyāyena buddhassa avaṇṇaṁ bhāsati, dhammassa avaṇṇaṁ bhāsati, saṅghassa avaṇṇaṁ bhāsati;
dn1:1.1.5	suppiyassa pana paribbājakassa antevāsī brahmadatto māṇavo anekapariyāyena buddhassa vaṇṇaṁ bhāsati, dhammassa vaṇṇaṁ bhāsati, saṅghassa vaṇṇaṁ bhāsati.
dn1:1.1.6	Itiha te ubho ācariyantevāsī aññamaññassa ujuvipaccanīkavādā bhagavantaṁ piṭṭhito piṭṭhito anubandhā honti bhikkhusaṅghañca.
dn1:1.2.1	Atha kho bhagavā ambalaṭṭhikāyaṁ rājāgārake ekarattivāsaṁ upagacchi saddhiṁ bhikkhusaṅghena.
dn1:1.2.2	Suppiyopi kho paribbājako ambalaṭṭhikāyaṁ rājāgārake ekarattivāsaṁ upagacchi antevāsinā brahmadattena māṇavena.
dn1:1.2.3	Tatrapi sudaṁ suppiyo paribbājako anekapariyāyena buddhassa avaṇṇaṁ bhāsati, dhammassa avaṇṇaṁ bhāsati, saṅghassa avaṇṇaṁ bhāsati;
dn1:1.2.4	suppiyassa pana paribbājakassa antevāsī brahmadatto māṇavo anekapariyāyena buddhassa vaṇṇaṁ bhāsati, dhammassa vaṇṇaṁ bhāsati, saṅghassa vaṇṇaṁ bhāsati.
dn1:1.2.5	Itiha te ubho ācariyantevāsī aññamaññassa ujuvipaccanīkavādā viharanti.
dn1:1.3.1	Atha kho sambahulānaṁ bhikkhūnaṁ rattiyā paccūsasamayaṁ paccuṭṭhitānaṁ maṇḍalamāḷe sannisinnānaṁ sannipatitānaṁ ayaṁ saṅkhiyadhammo udapādi:
dn1:1.3.2	“acchariyaṁ, āvuso, abbhutaṁ, āvuso, yāvañcidaṁ tena bhagavatā jānatā passatā arahatā sammāsambuddhena sattānaṁ nānādhimuttikatā suppaṭividitā.
dn1:1.3.3	Ayañhi suppiyo paribbājako anekapariyāyena buddhassa avaṇṇaṁ bhāsati, dhammassa avaṇṇaṁ bhāsati, saṅghassa avaṇṇaṁ bhāsati;
dn1:1.3.4	suppiyassa pana paribbājakassa antevāsī brahmadatto māṇavo anekapariyāyena buddhassa vaṇṇaṁ bhāsati, dhammassa vaṇṇaṁ bhāsati, saṅghassa vaṇṇaṁ bhāsati.
dn1:1.3.5	Itihame ubho ācariyantevāsī aññamaññassa ujuvipaccanīkavādā bhagavantaṁ piṭṭhito piṭṭhito anubandhā honti bhikkhusaṅghañcā”ti.
dn1:1.4.1	Atha kho bhagavā tesaṁ bhikkhūnaṁ imaṁ saṅkhiyadhammaṁ viditvā yena maṇḍalamāḷo tenupasaṅkami; upasaṅkamitvā paññatte āsane nisīdi. Nisajja kho bhagavā bhikkhū āmantesi:
dn1:1.4.2	“kāya nuttha, bhikkhave, etarahi kathāya sannisinnā sannipatitā, kā ca pana vo antarākathā vippakatā”ti?
dn1:1.4.3	Evaṁ vutte, te bhikkhū bhagavantaṁ etadavocuṁ:
dn1:1.4.4	“idha, bhante, amhākaṁ rattiyā paccūsasamayaṁ paccuṭṭhitānaṁ maṇḍalamāḷe sannisinnānaṁ sannipatitānaṁ ayaṁ saṅkhiyadhammo udapādi:
dn1:1.4.5	‘acchariyaṁ, āvuso, abbhutaṁ, āvuso, yāvañcidaṁ tena bhagavatā jānatā passatā arahatā sammāsambuddhena sattānaṁ nānādhimuttikatā suppaṭividitā.
dn1:1.4.6	Ayañhi suppiyo paribbājako anekapariyāyena buddhassa avaṇṇaṁ bhāsati, dhammassa avaṇṇaṁ bhāsati, saṅghassa avaṇṇaṁ bhāsati;
dn1:1.4.7	suppiyassa pana paribbājakassa antevāsī brahmadatto māṇavo anekapariyāyena buddhassa vaṇṇaṁ bhāsati, dhammassa vaṇṇaṁ bhāsati, saṅghassa vaṇṇaṁ bhāsati.
dn1:1.4.8	Itihame ubho ācariyantevāsī aññamaññassa ujuvipaccanīkavādā bhagavantaṁ piṭṭhito piṭṭhito anubandhā honti bhikkhusaṅghañcā’ti.
dn1:1.4.9	Ayaṁ kho no, bhante, antarākathā vippakatā, atha bhagavā anuppatto”ti.
dn1:1.5.1	“Mamaṁ vā, bhikkhave, pare avaṇṇaṁ bhāseyyuṁ, dhammassa vā avaṇṇaṁ bhāseyyuṁ, saṅghassa vā avaṇṇaṁ bhāseyyuṁ, tatra tumhehi na āghāto na appaccayo na cetaso anabhiraddhi karaṇīyā.
dn1:1.5.2	Mamaṁ vā, bhikkhave, pare avaṇṇaṁ bhāseyyuṁ, dhammassa vā avaṇṇaṁ bhāseyyuṁ, saṅghassa vā avaṇṇaṁ bhāseyyuṁ, tatra ce tumhe assatha kupitā vā anattamanā vā, tumhaṁ yevassa tena antarāyo.
dn1:1.5.3	Mamaṁ vā, bhikkhave, pare avaṇṇaṁ bhāseyyuṁ, dhammassa vā avaṇṇaṁ bhāseyyuṁ, saṅghassa vā avaṇṇaṁ bhāseyyuṁ, tatra ce tumhe assatha kupitā vā anattamanā vā, api nu tumhe paresaṁ subhāsitaṁ dubbhāsitaṁ ājāneyyāthā”ti?
dn1:1.5.4	“No hetaṁ, bhante”.
dn1:1.6.1	“Mamaṁ vā, bhikkhave, pare avaṇṇaṁ bhāseyyuṁ, dhammassa vā avaṇṇaṁ bhāseyyuṁ, saṅghassa vā avaṇṇaṁ bhāseyyuṁ, tatra tumhehi abhūtaṁ abhūtato nibbeṭhetabbaṁ:
dn1:1.6.2	‘itipetaṁ abhūtaṁ, itipetaṁ atacchaṁ, natthi cetaṁ amhesu, na ca panetaṁ amhesu saṁvijjatī’ti.
dn1:1.6.3	Mamaṁ vā, bhikkhave, pare vaṇṇaṁ bhāseyyuṁ, dhammassa vā vaṇṇaṁ bhāseyyuṁ, saṅghassa vā vaṇṇaṁ bhāseyyuṁ, tatra tumhehi na ānando na somanassaṁ na cetaso uppilāvitattaṁ karaṇīyaṁ.
dn1:1.6.4	Mamaṁ vā, bhikkhave, pare vaṇṇaṁ bhāseyyuṁ, dhammassa vā vaṇṇaṁ bhāseyyuṁ, saṅghassa vā vaṇṇaṁ bhāseyyuṁ, tatra ce tumhe assatha ānandino sumanā uppilāvitā tumhaṁ yevassa tena antarāyo.
dn1:1.6.5	Mamaṁ vā, bhikkhave, pare vaṇṇaṁ bhāseyyuṁ, dhammassa vā vaṇṇaṁ bhāseyyuṁ, saṅghassa vā vaṇṇaṁ bhāseyyuṁ, tatra tumhehi bhūtaṁ bhūtato paṭijānitabbaṁ:
dn1:1.6.6	‘itipetaṁ bhūtaṁ, itipetaṁ tacchaṁ, atthi cetaṁ amhesu, saṁvijjati ca panetaṁ amhesū’ti.
dn1:1.7.0.1	2. Sīla
dn1:1.7.0.2	2.1. Cūḷasīla
dn1:1.7.1	Appamattakaṁ kho panetaṁ, bhikkhave, oramattakaṁ sīlamattakaṁ, yena puthujjano tathāgatassa vaṇṇaṁ vadamāno vadeyya.
dn1:1.7.2	Katamañca taṁ, bhikkhave, appamattakaṁ oramattakaṁ sīlamattakaṁ, yena puthujjano tathāgatassa vaṇṇaṁ vadamāno vadeyya?
