segment_id	segment_text
sn1.1:0.1	Saṁyutta Nikāya 1
sn1.1:0.2	1. Naḷavagga
sn1.1:0.3	1. Oghataraṇasutta
sn1.1:1.1	Evaṁ me sutaṁ—
sn1.1:1.2	ekaṁ samayaṁ bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.
sn1.1:1.3	Atha kho aññatarā devatā abhikkantāya rattiyā abhikkantavaṇṇā kevalakappaṁ jetavanaṁ obhāsetvā yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ aṭṭhāsi. Ekamantaṁ ṭhitā kho sā devatā bhagavantaṁ etadavoca:
sn1.1:1.4	“kathaṁ nu tvaṁ, mārisa, oghamatarī”ti?
sn1.1:1.5	“Appatiṭṭhaṁ khvāhaṁ, āvuso, anāyūhaṁ oghamatarin”ti.
sn1.1:1.6	“Yathākathaṁ pana tvaṁ, mārisa, appatiṭṭhaṁ anāyūhaṁ oghamatarī”ti?
sn1.1:1.7	“Yadāsvāhaṁ, āvuso, santiṭṭhāmi tadāssu saṁsīdāmi;
sn1.1:1.8	yadāsvāhaṁ, āvuso, āyūhāmi tadāssu nibbuyhāmi.
sn1.1:1.9	Evaṁ khvāhaṁ, āvuso, appatiṭṭhaṁ anāyūhaṁ oghamatarin”ti.
sn1.1:2.1	“Cirassaṁ vata passāmi,
sn1.1:2.2	brāhmaṇaṁ parinibbutaṁ;
sn1.1:2.3	Appatiṭṭhaṁ anāyūhaṁ,
sn1.1:2.4	tiṇṇaṁ loke visattikan”ti.
sn1.1:3.1	Idamavoca sā devatā.
sn1.1:3.2	Samanuñño satthā ahosi.
sn1.1:3.3	Atha kho sā devatā:
sn1.1:3.4	“samanuñño me satthā”ti bhagavantaṁ abhivādetvā padakkhiṇaṁ katvā tatthevantaradhāyīti.
sn1.2:0.1	Saṁyutta Nikāya 1
sn1.2:0.2	1. Naḷavagga
sn1.2:0.3	2. Nimokkhasutta
sn1.2:1.1	Sāvatthinidānaṁ.
sn1.2:1.2	Atha kho aññatarā devatā abhikkantāya rattiyā abhikkantavaṇṇā kevalakappaṁ jetavanaṁ obhāsetvā yena bhagavā tenupasaṅkami; upasaṅkamitvā bhagavantaṁ abhivādetvā ekamantaṁ aṭṭhāsi. Ekamantaṁ ṭhitā kho sā devatā bhagavantaṁ etadavoca:
sn1.2:2.1	“Jānāsi no tvaṁ, mārisa, sattānaṁ nimokkhaṁ pamokkhaṁ vivekan”ti?
sn1.2:3.1	“Jānāmi khvāhaṁ, āvuso, sattānaṁ nimokkhaṁ pamokkhaṁ vivekan”ti.
sn1.2:4.1	“Yathākathaṁ pana tvaṁ, mārisa, jānāsi sattānaṁ nimokkhaṁ pamokkhaṁ vivekan”ti?
sn1.2:5.1	“Nandībhavaparikkhayā,
sn1.2:5.2	Saññāviññāṇasaṅkhayā;
sn1.2:5.3	Vedanānaṁ nirodhā upasamā,
sn1.2:5.4	Evaṁ khvāhaṁ āvuso jānāmi;
sn1.2:5.5	Sattānaṁ nimokkhaṁ pamokkhaṁ vivekan”ti.
sn1.3:0.1	Saṁyutta Nikāya 1
sn1.3:0.2	1. Naḷavagga
sn1.3:0.3	3. Upanīyasutta
sn1.3:1.1	Sāvatthinidānaṁ.
sn1.3:1.2	Ekamantaṁ ṭhitā kho sā devatā bhagavato santike imaṁ gāthaṁ abhāsi:
sn1.3:2.1	“Upanīyati jīvitamappamāyu,
sn1.3:2.2	Jarūpanītassa na santi tāṇā;
sn1.3:2.3	Etaṁ bhayaṁ maraṇe pekkhamāno,
sn1.3:2.4	Puññāni kayirātha sukhāvahānī”ti.
sn1.3:3.1	“Upanīyati jīvitamappamāyu,
