segment_id	segment_text
pli-tv-bu-vb-as1:0.1	Theravāda Vinaya
pli-tv-bu-vb-as1:0.2	Mahāvibhaṅga
pli-tv-bu-vb-as1:0.3	Adhikaraṇasamatha
pli-tv-bu-vb-as1:1.1	Ime kho panāyasmanto satta adhikaraṇasamathā dhammā uddesaṁ āgacchanti.
pli-tv-bu-vb-as1:2.1	Uppannuppannānaṁ adhikaraṇānaṁ samathāya vūpasamāya
pli-tv-bu-vb-as1:2.2	sammukhāvinayo dātabbo,
pli-tv-bu-vb-as2:1.1	sativinayo dātabbo,
pli-tv-bu-vb-as3:1.1	amūḷhavinayo dātabbo,
pli-tv-bu-vb-as4:1.1	paṭiññāya kāretabbaṁ,
pli-tv-bu-vb-as5:1.1	yebhuyyasikā,
pli-tv-bu-vb-as6:1.1	tassapāpiyasikā,
pli-tv-bu-vb-as7:1.1	tiṇavatthārakoti.
pli-tv-bu-vb-as7:2.1	Uddiṭṭhā kho, āyasmanto, satta adhikaraṇasamathā dhammā.
pli-tv-bu-vb-as7:2.2	Tatthāyasmante pucchāmi—
pli-tv-bu-vb-as7:2.3	“kaccittha parisuddhā”?
pli-tv-bu-vb-as7:2.4	Dutiyampi pucchāmi—
pli-tv-bu-vb-as7:2.5	“kaccittha parisuddhā”?
pli-tv-bu-vb-as7:2.6	Tatiyampi pucchāmi—
pli-tv-bu-vb-as7:2.7	“kaccittha parisuddhā”?
pli-tv-bu-vb-as7:2.8	Parisuddhetthāyasmanto, tasmā tuṇhī, evametaṁ dhārayāmīti.
pli-tv-bu-vb-as7:3.1	Adhikaraṇasamathā niṭṭhitā.
pli-tv-bu-vb-as7:4.1	Uddiṭṭhaṁ kho, āyasmanto, nidānaṁ;
pli-tv-bu-vb-as7:4.2	uddiṭṭhā cattāro pārājikā dhammā;
pli-tv-bu-vb-as7:4.3	uddiṭṭhā terasa saṅghādisesā dhammā;
pli-tv-bu-vb-as7:4.4	uddiṭṭhā dve aniyatā dhammā;
pli-tv-bu-vb-as7:4.5	uddiṭṭhā tiṁsa nissaggiyā pācittiyā dhammā;
pli-tv-bu-vb-as7:4.6	uddiṭṭhā dvenavuti pācittiyā dhammā;
pli-tv-bu-vb-as7:4.7	uddiṭṭhā cattāro pāṭidesanīyā dhammā;
pli-tv-bu-vb-as7:4.8	uddiṭṭhā sekhiyā dhammā;
pli-tv-bu-vb-as7:4.9	uddiṭṭhā satta adhikaraṇasamathā dhammā.
pli-tv-bu-vb-as7:4.10	Ettakaṁ tassa bhagavato suttāgataṁ suttapariyāpannaṁ anvaddhamāsaṁ uddesaṁ āgacchati.
pli-tv-bu-vb-as7:4.11	Tattha sabbeheva samaggehi sammodamānehi avivadamānehi sikkhitabbanti.
pli-tv-bu-vb-as7:5.1	Mahāvibhaṅgo niṭṭhito.
pli-tv-bu-vb-ay1:0.1	Theravāda Vinaya
pli-tv-bu-vb-ay1:0.2	Mahāvibhaṅga
pli-tv-bu-vb-ay1:0.3	Aniyatakaṇḍa
pli-tv-bu-vb-ay1:0.4	1. Paṭhamaaniyatasikkhāpada
pli-tv-bu-vb-ay1:0.5	Ime kho panāyasmanto dve aniyatā dhammā uddesaṁ āgacchanti.
pli-tv-bu-vb-ay1:1.1	Tena samayena buddho bhagavā sāvatthiyaṁ viharati jetavane anāthapiṇḍikassa ārāme.
pli-tv-bu-vb-ay1:1.2	Tena kho pana samayena āyasmā udāyī sāvatthiyaṁ kulūpako hoti, bahukāni kulāni upasaṅkamati.
pli-tv-bu-vb-ay1:1.3	Tena kho pana samayena āyasmato udāyissa upaṭṭhākakulassa kumārikā aññatarassa kulassa kumārakassa dinnā hoti.
pli-tv-bu-vb-ay1:1.4	Atha kho āyasmā udāyī pubbaṇhasamayaṁ nivāsetvā pattacīvaramādāya yena taṁ kulaṁ tenupasaṅkami; upasaṅkamitvā manusse pucchi—
pli-tv-bu-vb-ay1:1.5	“kahaṁ itthannāmā”ti?
pli-tv-bu-vb-ay1:1.6	Te evamāhaṁsu—
pli-tv-bu-vb-ay1:1.7	“dinnā, bhante, amukassa kulassa kumārakassā”ti.
pli-tv-bu-vb-ay1:1.8	Tampi kho kulaṁ āyasmato udāyissa upaṭṭhākaṁ hoti.
pli-tv-bu-vb-ay1:1.9	Atha kho āyasmā udāyī yena taṁ kulaṁ tenupasaṅkami; upasaṅkamitvā manusse pucchi—
pli-tv-bu-vb-ay1:1.10	“kahaṁ itthannāmā”ti?
pli-tv-bu-vb-ay1:1.11	Te evamāhaṁsu—
pli-tv-bu-vb-ay1:1.12	“esāyya, ovarake nisinnā”ti.
pli-tv-bu-vb-ay1:1.13	Atha kho āyasmā udāyī yena sā kumārikā tenupasaṅkami; upasaṅkamitvā tassā kumārikāya saddhiṁ eko ekāya raho paṭicchanne āsane alaṅkammaniye nisajjaṁ kappesi kālayuttaṁ samullapanto kālayuttaṁ dhammaṁ bhaṇanto.
pli-tv-bu-vb-ay1:1.14	Tena kho pana samayena visākhā migāramātā bahuputtā hoti bahunattā arogaputtā aroganattā abhimaṅgalasammatā.
pli-tv-bu-vb-ay1:1.15	Manussā yaññesu chaṇesu ussavesu visākhaṁ migāramātaraṁ paṭhamaṁ bhojenti.
pli-tv-bu-vb-ay1:1.16	Atha kho visākhā migāramātā nimantitā taṁ kulaṁ agamāsi.
pli-tv-bu-vb-ay1:1.17	Addasā kho visākhā migāramātā āyasmantaṁ udāyiṁ tassā kumārikāya saddhiṁ ekaṁ ekāya raho paṭicchanne āsane alaṅkammaniye nisinnaṁ.
pli-tv-bu-vb-ay1:1.18	Disvāna āyasmantaṁ udāyiṁ etadavoca—
pli-tv-bu-vb-ay1:1.19	“idaṁ, bhante, nacchannaṁ nappatirūpaṁ yaṁ ayyo mātugāmena saddhiṁ eko ekāya raho paṭicchanne āsane alaṅkammaniye nisajjaṁ kappeti.
pli-tv-bu-vb-ay1:1.20	Kiñcāpi, bhante, ayyo anatthiko tena dhammena, api ca dussaddhāpayā appasannā manussā”ti.
pli-tv-bu-vb-ay1:1.21	Evampi kho āyasmā udāyī visākhāya migāramātuyā vuccamāno nādiyi.
pli-tv-bu-vb-ay1:1.22	Atha kho visākhā migāramātā nikkhamitvā bhikkhūnaṁ etamatthaṁ ārocesi.
pli-tv-bu-vb-ay1:1.23	Ye te bhikkhū appicchā …pe… te ujjhāyanti khiyyanti vipācenti—
pli-tv-bu-vb-ay1:1.24	“kathañhi nāma āyasmā udāyī mātugāmena saddhiṁ eko ekāya raho paṭicchanne āsane alaṅkammaniye nisajjaṁ kappessatī”ti.
pli-tv-bu-vb-ay1:1.25	Atha kho te bhikkhū āyasmantaṁ udāyiṁ anekapariyāyena vigarahitvā bhagavato etamatthaṁ ārocesuṁ …pe…
pli-tv-bu-vb-ay1:1.26	“saccaṁ kira tvaṁ, udāyi, mātugāmena saddhiṁ eko ekāya raho paṭicchanne āsane alaṅkammaniye nisajjaṁ kappesī”ti?
pli-tv-bu-vb-ay1:1.27	“Saccaṁ, bhagavā”ti.
pli-tv-bu-vb-ay1:1.28	Vigarahi buddho bhagavā …pe…
pli-tv-bu-vb-ay1:1.29	kathañhi nāma tvaṁ, moghapurisa, mātugāmena saddhiṁ eko ekāya raho paṭicchanne āsane alaṅkammaniye nisajjaṁ kappessasi.
pli-tv-bu-vb-ay1:1.30	Netaṁ, moghapurisa, appasannānaṁ vā pasādāya …pe…
pli-tv-bu-vb-ay1:1.31	evañca pana, bhikkhave, imaṁ sikkhāpadaṁ uddiseyyātha—
pli-tv-bu-vb-ay1:1.32.1	“Yo pana bhikkhu mātugāmena saddhiṁ eko ekāya raho paṭicchanne āsane alaṅkammaniye nisajjaṁ kappeyya, tamenaṁ saddheyyavacasā upāsikā disvā
pli-tv-bu-vb-ay1:1.33	tiṇṇaṁ dhammānaṁ aññatarena vadeyya—pārājikena vā saṅghādisesena vā pācittiyena vā.
pli-tv-bu-vb-ay1:1.34	Nisajjaṁ bhikkhu paṭijānamāno tiṇṇaṁ dhammānaṁ aññatarena kāretabbo—pārājikena vā saṅghādisesena vā pācittiyena vā.
pli-tv-bu-vb-ay1:1.35	Yena vā sā saddheyyavacasā upāsikā vadeyya, tena so bhikkhu kāretabbo.
pli-tv-bu-vb-ay1:1.36	Ayaṁ dhammo aniyato”ti.
pli-tv-bu-vb-ay1:2.1.1	Yo panāti
pli-tv-bu-vb-ay1:2.1.2	yo yādiso …pe…
pli-tv-bu-vb-ay1:2.1.3	bhikkhūti
pli-tv-bu-vb-ay1:2.1.4	…pe… ayaṁ imasmiṁ atthe adhippeto bhikkhūti.
pli-tv-bu-vb-ay1:2.1.5	Mātugāmo nāma
pli-tv-bu-vb-ay1:2.1.6	manussitthī, na yakkhī na petī na tiracchānagatā. Antamaso tadahujātāpi dārikā, pageva mahattarī.
pli-tv-bu-vb-ay1:2.1.7	Saddhinti
pli-tv-bu-vb-ay1:2.1.8	ekato.
pli-tv-bu-vb-ay1:2.1.9	Eko ekāyāti
pli-tv-bu-vb-ay1:2.1.10	bhikkhu ceva hoti mātugāmo ca.
pli-tv-bu-vb-ay1:2.1.11	Raho nāma
pli-tv-bu-vb-ay1:2.1.12	cakkhussa raho, sotassa raho.
pli-tv-bu-vb-ay1:2.1.13	Cakkhussa raho nāma
pli-tv-bu-vb-ay1:2.1.14	na sakkā hoti akkhiṁ vā nikhaṇīyamāne bhamukaṁ vā ukkhipīyamāne sīsaṁ vā ukkhipīyamāne passituṁ.
pli-tv-bu-vb-ay1:2.1.15	Sotassa raho nāma
pli-tv-bu-vb-ay1:2.1.16	na sakkā hoti pakatikathā sotuṁ.
pli-tv-bu-vb-ay1:2.1.17	Paṭicchannaṁ nāma
pli-tv-bu-vb-ay1:2.1.18	āsanaṁ kuṭṭena vā kavāṭena vā kilañjena vā sāṇipākārena vā rukkhena vā thambhena vā kotthaḷiyā vā yena kenaci paṭicchannaṁ hoti.
pli-tv-bu-vb-ay1:2.1.19	Alaṅkammaniyeti
pli-tv-bu-vb-ay1:2.1.20	sakkā hoti methunaṁ dhammaṁ paṭisevituṁ.
pli-tv-bu-vb-ay1:2.1.21	Nisajjaṁ kappeyyāti
pli-tv-bu-vb-ay1:2.1.22	mātugāme nisinne bhikkhu upanisinno vā hoti upanipanno vā.
pli-tv-bu-vb-ay1:2.1.23	Bhikkhu nisinne mātugāmo upanisinno vā hoti upanipanno vā.
pli-tv-bu-vb-ay1:2.1.24	Ubho vā nisinnā honti ubho vā nipannā.
pli-tv-bu-vb-ay1:2.1.25	Saddheyyavacasā nāma
pli-tv-bu-vb-ay1:2.1.26	āgataphalā abhisametāvinī viññātasāsanā.
pli-tv-bu-vb-ay1:2.1.27	Upāsikā nāma
pli-tv-bu-vb-ay1:2.1.28	buddhaṁ saraṇaṁ gatā, dhammaṁ saraṇaṁ gatā, saṅghaṁ saraṇaṁ gatā.
pli-tv-bu-vb-ay1:2.1.29	Disvāti
pli-tv-bu-vb-ay1:2.1.30	passitvā.
pli-tv-bu-vb-ay1:2.2.1	Tiṇṇaṁ dhammānaṁ aññatarena vadeyya— pārājikena vā saṅghādisesena vā pācittiyena vā.
pli-tv-bu-vb-ay1:2.2.2	Nisajjaṁ bhikkhu paṭijānamāno tiṇṇaṁ dhammānaṁ aññatarena kāretabbo— pārājikena vā saṅghādisesena vā pācittiyena vā.
pli-tv-bu-vb-ay1:2.2.3	Yena vā sā saddheyyavacasā upāsikā vadeyya tena so bhikkhu kāretabbo.
pli-tv-bu-vb-ay1:2.2.4	Sā ce evaṁ vadeyya—
pli-tv-bu-vb-ay1:2.2.5	“ayyo mayā diṭṭho nisinno mātugāmassa methunaṁ dhammaṁ paṭisevanto”ti,
pli-tv-bu-vb-ay1:2.2.6	so ca taṁ paṭijānāti, āpattiyā kāretabbo.
