segment_id	reference	text
pli-tv-bu-vb-as1:1.1	bj2.1.1.558	bj
pli-tv-bu-vb-as1:1.1	mc2.427	mc
pli-tv-bu-vb-as1:1.1	ms2V_2093	ms
pli-tv-bu-vb-as1:1.1	ndp2.281	ndp
pli-tv-bu-vb-as1:1.1	pts-vp-en3.153	pts-vp-en
pli-tv-bu-vb-as1:1.1	pts-vp-pli4.207	pts-vp-pli
pli-tv-bu-vb-as1:1.1	sya2.571	sya
pli-tv-bu-vb-as1:1.1	vri88.283	vri
pli-tv-bu-vb-as1:2.1	ms2V_2094	ms
pli-tv-bu-vb-as1:2.1	msdiv655	msdiv
pli-tv-bu-vb-as1:2.1	pts-vp-en3.154	pts-vp-en
pli-tv-bu-vb-as7:2.1	ms2V_2095	ms
pli-tv-bu-vb-as7:3.1	dr2.466	dr
pli-tv-bu-vb-as7:3.1	ms2V_2096	ms
pli-tv-bu-vb-as7:4.1	ms2V_2097	ms
pli-tv-bu-vb-as7:4.10	pts-vp-en3.155	pts-vp-en
pli-tv-bu-vb-as7:5.1	ms2V_2098	ms
pli-tv-bu-vb-ay1:0.5	bj1.484	bj
pli-tv-bu-vb-ay1:0.5	cck1.421	cck
pli-tv-bu-vb-ay1:0.5	csp1ed1.285	csp1ed
pli-tv-bu-vb-ay1:0.5	csp2ed1.285	csp2ed
pli-tv-bu-vb-ay1:0.5	dr1.377	dr
pli-tv-bu-vb-ay1:0.5	km2.350	km
pli-tv-bu-vb-ay1:0.5	mc1.332	mc
pli-tv-bu-vb-ay1:0.5	ms1V_1802	ms
pli-tv-bu-vb-ay1:0.5	ndp1.278	ndp
pli-tv-bu-vb-ay1:0.5	pts-vp-en1.330	pts-vp-en
pli-tv-bu-vb-ay1:0.5	pts-vp-pli3.187	pts-vp-pli
pli-tv-bu-vb-ay1:0.5	sya1.431	sya
pli-tv-bu-vb-ay1:0.5	vri87.292	vri
pli-tv-bu-vb-ay1:1.1	km2.351	km
pli-tv-bu-vb-ay1:1.1	ms1V_1803	ms
pli-tv-bu-vb-ay1:1.1	msdiv443	msdiv
pli-tv-bu-vb-ay1:1.1	pts-cs1	pts-cs
pli-tv-bu-vb-ay1:1.14	cck1.422	cck
pli-tv-bu-vb-ay1:1.14	csp1ed1.286	csp1ed
pli-tv-bu-vb-ay1:1.14	csp2ed1.286	csp2ed
pli-tv-bu-vb-ay1:1.14	dr1.378	dr
pli-tv-bu-vb-ay1:1.14	km2.352	km
pli-tv-bu-vb-ay1:1.14	mc1.333	mc
pli-tv-bu-vb-ay1:1.14	ms1V_1804	ms
pli-tv-bu-vb-ay1:1.14	ndp1.279	ndp
pli-tv-bu-vb-ay1:1.14	pts-vp-en1.331	pts-vp-en
