segment_id	segment_text
an1.1:0.1	Numbered Discourses 1
an1.1:0.2	1. Sights, Etc.
an1.1:0.3	1–10
an1.1:1.0	1
an1.1:1.1	So I have heard.
an1.1:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.
an1.1:1.3	There the Buddha addressed the mendicants,
an1.1:1.4	“Mendicants!”
an1.1:1.5	“Venerable sir,” they replied.
an1.1:1.6	The Buddha said this:
an1.1:2.1	“Mendicants, I do not see a single sight that occupies a man’s mind like the sight of a woman.
an1.1:2.2	The sight of a woman occupies a man’s mind.”
an1.1:2.3	NA
an1.2:1.0	2
an1.2:1.1	“Mendicants, I do not see a single sound that occupies a man’s mind like the sound of a woman.
an1.2:1.2	The sound of a woman occupies a man’s mind.”
an1.2:1.3	NA
an1.3:1.0	3
an1.3:1.1	“Mendicants, I do not see a single smell that occupies a man’s mind like the smell of a woman.
an1.3:1.2	The smell of a woman occupies a man’s mind.”
an1.3:1.3	NA
an1.4:1.0	4
an1.4:1.1	“Mendicants, I do not see a single taste that occupies a man’s mind like the taste of a woman.
an1.4:1.2	The taste of a woman occupies a man’s mind.”
an1.4:1.3	NA
an1.5:1.0	5
an1.5:1.1	“Mendicants, I do not see a single touch that occupies a man’s mind like the touch of a woman.
an1.5:1.2	The touch of a woman occupies a man’s mind.”
an1.5:1.3	NA
an1.6:1.0	6
an1.6:1.1	“Mendicants, I do not see a single sight that occupies a woman’s mind like the sight of a man.
an1.6:1.2	The sight of a man occupies a woman’s mind.”
an1.6:1.3	NA
an1.7:1.0	7
an1.7:1.1	“Mendicants, I do not see a single sound that occupies a woman’s mind like the sound of a man.
an1.7:1.2	The sound of a man occupies a woman’s mind.”
an1.7:1.3	NA
an1.8:1.0	8
an1.8:1.1	“Mendicants, I do not see a single smell that occupies a woman’s mind like the smell of a man.
an1.8:1.2	The smell of a man occupies a woman’s mind.”
an1.8:1.3	NA
an1.9:1.0	9
an1.9:1.1	“Mendicants, I do not see a single taste that occupies a woman’s mind like the taste of a man.
an1.9:1.2	The taste of a man occupies a woman’s mind.”
an1.9:1.3	NA
an1.10:1.0	10
