segment_id	segment_text
dn1:0.1	Long Discourses 1
dn1:0.2	The Prime Net
dn1:0.3	1. Talk on Wanderers
dn1:1.1.1	So I have heard.
dn1:1.1.2	At one time the Buddha was traveling along the road between Rājagaha and Nālanda together with a large Saṅgha of around five hundred mendicants.
dn1:1.1.3	The wanderer Suppiya was also traveling along the same road, together with his pupil, the brahmin student Brahmadatta.
dn1:1.1.4	Meanwhile, Suppiya criticized the Buddha, the teaching, and the Saṅgha in many ways,
dn1:1.1.5	but his pupil Brahmadatta praised them in many ways.
dn1:1.1.6	And so both teacher and pupil followed behind the Buddha and the Saṅgha of mendicants directly contradicting each other.
dn1:1.2.1	Then the Buddha took up residence for the night in the royal rest-house in Ambalaṭṭhikā together with the Saṅgha of mendicants.
dn1:1.2.2	And Suppiya and Brahmadatta did likewise.
dn1:1.2.3	There too, Suppiya criticized the Buddha, the teaching, and the Saṅgha in many ways,
dn1:1.2.4	but his pupil Brahmadatta praised them in many ways.
dn1:1.2.5	And so both teacher and pupil kept on directly contradicting each other.
dn1:1.3.1	Then several mendicants rose at the crack of dawn and sat together in the pavilion, where the topic of evaluation came up:
dn1:1.3.2	“It’s incredible, reverends, it’s amazing how the diverse attitudes of sentient beings have been clearly comprehended by the Blessed One, who knows and sees, the perfected one, the fully awakened Buddha.
dn1:1.3.3	For this Suppiya criticizes the Buddha, the teaching, and the Saṅgha in many ways,
dn1:1.3.4	while his pupil Brahmadatta praises them in many ways.
dn1:1.3.5	And so both teacher and pupil followed behind the Buddha and the Saṅgha of mendicants directly contradicting each other.”
dn1:1.4.1	When the Buddha found out about this discussion on evaluation among the mendicants, he went to the pavilion, where he sat on the seat spread out and addressed the mendicants,
dn1:1.4.2	“Mendicants, what were you sitting talking about just now? What conversation was left unfinished?”
dn1:1.4.3	The mendicants told him what had happened, adding,
dn1:1.4.4	NA
dn1:1.4.5	NA
dn1:1.4.6	NA
dn1:1.4.7	NA
dn1:1.4.8	NA
dn1:1.4.9	“This was our conversation that was unfinished when the Buddha arrived.”
dn1:1.5.1	“Mendicants, if others criticize me, the teaching, or the Saṅgha, don’t make yourselves resentful, bitter, and exasperated.
dn1:1.5.2	You’ll get angry and upset, which would be an obstacle for you alone.
dn1:1.5.3	If others were to criticize me, the teaching, or the Saṅgha, and you got angry and upset, would you be able to understand whether they spoke well or poorly?”
dn1:1.5.4	“No, sir.”
dn1:1.6.1	“If others criticize me, the teaching, or the Saṅgha, you should explain that what is untrue is in fact untrue:
dn1:1.6.2	‘This is why that’s untrue, this is why that’s false. There’s no such thing in us, it’s not found among us.’
dn1:1.6.3	If others praise me, the teaching, or the Saṅgha, don’t make yourselves thrilled, elated, and excited.
dn1:1.6.4	You’ll get thrilled, elated, and excited, which would be an obstacle for you alone.
dn1:1.6.5	If others praise me, the teaching, or the Saṅgha, you should acknowledge that what is true is in fact true:
dn1:1.6.6	‘This is why that’s true, this is why that’s correct. There is such a thing in us, it is found among us.’
dn1:1.7.0.1	2. Ethics
dn1:1.7.0.2	2.1. The Shorter Section on Ethics
dn1:1.7.1	When an ordinary person speaks praise of the Realized One, they speak only of trivial, insignificant details of mere ethics.
dn1:1.7.2	And what are the trivial, insignificant details of mere ethics that an ordinary person speaks of?
dn1:1.8.1	‘The ascetic Gotama has given up killing living creatures. He has renounced the rod and the sword. He’s scrupulous and kind, living full of compassion for all living beings.’
dn1:1.8.2	Such is an ordinary person’s praise of the Realized One.
dn1:1.8.3	‘The ascetic Gotama has given up stealing. He takes only what’s given, and expects only what’s given. He keeps himself clean by not thieving.’
dn1:1.8.4	Such is an ordinary person’s praise of the Realized One.
dn1:1.8.5	‘The ascetic Gotama has given up unchastity. He is celibate, set apart, avoiding the common practice of sex.’
dn1:1.8.6	Such is an ordinary person’s praise of the Realized One.
dn1:1.9.1	‘The ascetic Gotama has given up lying. He speaks the truth and sticks to the truth. He’s honest and trustworthy, and doesn’t trick the world with his words.’
dn1:1.9.2	Such is an ordinary person’s praise of the Realized One.
dn1:1.9.3	‘The ascetic Gotama has given up divisive speech. He doesn’t repeat in one place what he heard in another so as to divide people against each other. Instead, he reconciles those who are divided, supporting unity, delighting in harmony, loving harmony, speaking words that promote harmony.’
dn1:1.9.4	Such is an ordinary person’s praise of the Realized One.
dn1:1.9.5	‘The ascetic Gotama has given up harsh speech. He speaks in a way that’s mellow, pleasing to the ear, lovely, going to the heart, polite, likable and agreeable to the people.’
dn1:1.9.6	Such is an ordinary person’s praise of the Realized One.
dn1:1.9.7	‘The ascetic Gotama has given up talking nonsense. His words are timely, true, and meaningful, in line with the teaching and training. He says things at the right time which are valuable, reasonable, succinct, and beneficial.’
dn1:1.9.8	Such is an ordinary person’s praise of the Realized One.
dn1:1.10.1	‘The ascetic Gotama refrains from injuring plants and seeds.’
dn1:1.10.2	NA
