segment_id	segment_text
sn1.10:0.1	Linked Discourses 1 
sn1.10:0.2	1. A Reed 
sn1.10:0.3	10. Wilderness 
sn1.10:1.1	At Sāvatthī. 
sn1.10:1.2	Standing to one side, that deity addressed the Buddha in verse: 
sn1.10:2.1	“Living in the wilderness, 
sn1.10:2.2	peaceful spiritual practitioners 
sn1.10:2.3	eat just one meal a day: 
sn1.10:2.4	so why is their complexion so clear?” 
sn1.10:3.1	“They don’t grieve for the past, 
sn1.10:3.2	nor do they long for the future; 
sn1.10:3.3	they feed on whatever comes that day, 
sn1.10:3.4	that’s why their complexion’s so clear. 
sn1.10:4.1	Because they long for the future, 
sn1.10:4.2	and grieve for the past, 
sn1.10:4.3	fools wither away, 
sn1.10:4.4	like a green reed mowed down.” 
sn1.10:4.5	 
sn1.10:5.1	 
sn1.10:5.2	 
sn1.10:5.3	 
sn1.10:5.4	 
sn1.10:5.5	 
sn1.11:0.1	Linked Discourses 1 
sn1.11:0.2	2. The Garden of Delight 
sn1.11:0.3	11. The Garden of Delight 
sn1.11:1.1	So I have heard. 
sn1.11:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s Monastery. 
sn1.11:1.3	There the Buddha addressed the mendicants, 
sn1.11:1.4	“Mendicants!” 
sn1.11:1.5	“Venerable sir,” they replied. 
sn1.11:1.6	The Buddha said this: 
sn1.11:2.1	“Once upon a time, mendicants, a certain deity of the company of the Thirty-Three was amusing themselves in the Garden of Delight, escorted by a band of nymphs, and supplied and provided with the five kinds of heavenly sensual stimulation. On that occasion they recited this verse: 
sn1.11:3.1	‘They don’t know pleasure 
sn1.11:3.2	who don’t see the Garden of Delight! 
sn1.11:3.3	It’s the abode of lordly gods, 
sn1.11:3.4	the glorious host of Thirty!’ 
sn1.11:4.1	When they had spoken, another deity replied with this verse: 
sn1.11:5.1	‘Fool, don’t you understand 
sn1.11:5.2	the saying of the perfected ones: 
sn1.11:5.3	All conditions are impermanent, 
sn1.11:5.4	their nature is to rise and fall; 
sn1.11:5.5	having arisen, they cease; 
sn1.11:5.6	their stilling is true bliss.’”
sn1.12:0.1	Linked Discourses 1 
sn1.12:0.2	2. The Garden of Delight 
sn1.12:0.3	12. Delight 
sn1.12:1.1	At Sāvatthī. 
sn1.12:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence: 
sn1.12:2.1	“Your children bring you delight! 
sn1.12:2.2	Your cattle also bring you delight! 
sn1.12:2.3	For attachments are a man’s delight; 
sn1.12:2.4	without attachments there’s no delight.” 
sn1.12:3.1	“Your children bring you sorrow. 
sn1.12:3.2	Your cattle also bring you sorrow. 
sn1.12:3.3	For attachments are a man’s sorrow; 
sn1.12:3.4	without attachments there are no sorrows.”
sn1.13:0.1	Linked Discourses 1 
sn1.13:0.2	2. The Garden of Delight 
sn1.13:0.3	13. There’s Nothing Like a Child 
sn1.13:1.1	At Sāvatthī. 
sn1.13:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence: 
sn1.13:2.1	“There’s no love like that for a child, 
sn1.13:2.2	no wealth equal to cattle, 
sn1.13:2.3	no light like that of the sun, 
sn1.13:2.4	and of waters the ocean is paramount.” 
sn1.13:3.1	“There’s no love like that for oneself, 
sn1.13:3.2	no wealth equal to grain, 
sn1.13:3.3	no light like that of wisdom, 
sn1.13:3.4	and of waters the rain is paramount.”
sn1.14:0.1	Linked Discourses 1 
sn1.14:0.2	2. The Garden of Delight 
sn1.14:0.3	14. Aristocrats 
sn1.14:1.1	“An aristocrat is the best of bipeds, 
sn1.14:1.2	an ox is the best of quadrupeds, 
sn1.14:1.3	a maiden is the best of wives, 
sn1.14:1.4	and a first-born the best of sons.” 
sn1.14:2.1	“A Buddha is the best of bipeds, 
sn1.14:2.2	a thoroughbred, the best of quadrupeds, 
sn1.14:2.3	a good listener is the best of wives, 
sn1.14:2.4	and the best of sons is loyal.”
sn1.15:0.1	Linked Discourses 1 
sn1.15:0.2	2. The Garden of Delight 
sn1.15:0.3	15. Whispering 
sn1.15:1.1	“In the still of high noon, 
sn1.15:1.2	when the birds have settled down, 
sn1.15:1.3	the formidable jungle whispers to itself: 
sn1.15:1.4	that seems so scary to me!” 
sn1.15:2.1	“In the still of high noon, 
sn1.15:2.2	when the birds have settled down, 
sn1.15:2.3	the formidable jungle whispers to itself: 
sn1.15:2.4	that seems so delightful to me!”
sn1.16:0.1	Linked Discourses 1 
sn1.16:0.2	2. The Garden of Delight 
sn1.16:0.3	16. Sleepiness and Sloth 
sn1.16:1.1	“Sleepiness, sloth, and yawning, 
sn1.16:1.2	discontent, and grogginess after eating: 
sn1.16:1.3	because of this the noble path 
