segment_id	segment_text	sutta	section_num	segment_num	collection	sutta_num	title
mn1:1.1	So I have heard.	mn1	1	1	mn	1	The Root of All Things
mn1:1.2	At one time the Buddha was staying near Ukkaṭṭhā, in the Subhaga Forest at the root of a magnificent sal tree.	mn1	1	2	mn	1	The Root of All Things
mn1:1.3	There the Buddha addressed the mendicants,	mn1	1	3	mn	1	The Root of All Things
mn1:1.4	“Mendicants!”	mn1	1	4	mn	1	The Root of All Things
mn1:1.5	“Venerable sir,” they replied.	mn1	1	5	mn	1	The Root of All Things
mn1:1.6	The Buddha said this:	mn1	1	6	mn	1	The Root of All Things
mn1:2.1	“Mendicants, I will teach you the explanation of the root of all things.	mn1	2	1	mn	1	The Root of All Things
mn1:2.2	Listen and apply your minds well, I will speak.”	mn1	2	2	mn	1	The Root of All Things
mn1:2.3	“Yes, sir,” they replied.	mn1	2	3	mn	1	The Root of All Things
mn1:2.4	The Buddha said this:	mn1	2	4	mn	1	The Root of All Things
mn1:3.1	“Take an unlearned ordinary person who has not seen the noble ones, and is neither skilled nor trained in the teaching of the noble ones. They’ve not seen true persons, and are neither skilled nor trained in the teaching of the true persons.	mn1	3	1	mn	1	The Root of All Things
mn1:3.2	They perceive earth as earth.	mn1	3	2	mn	1	The Root of All Things
mn1:3.3	Having perceived earth as earth, they conceive it to be earth, they conceive it in earth, they conceive it as earth, they conceive that ‘earth is mine’, they approve earth.	mn1	3	3	mn	1	The Root of All Things
mn1:3.4	Why is that?	mn1	3	4	mn	1	The Root of All Things
mn1:3.5	Because they haven’t completely understood it, I say.	mn1	3	5	mn	1	The Root of All Things
mn1:4.1	They perceive water as water.	mn1	4	1	mn	1	The Root of All Things
mn1:4.2	Having perceived water as water, they conceive it to be water …	mn1	4	2	mn	1	The Root of All Things
mn1:4.3	Why is that?	mn1	4	3	mn	1	The Root of All Things
mn1:4.4	Because they haven’t completely understood it, I say.	mn1	4	4	mn	1	The Root of All Things
mn1:5.1	They perceive fire as fire.	mn1	5	1	mn	1	The Root of All Things
mn1:5.2	Having perceived fire as fire, they conceive it to be fire …	mn1	5	2	mn	1	The Root of All Things
mn1:5.3	Why is that?	mn1	5	3	mn	1	The Root of All Things
mn1:5.4	Because they haven’t completely understood it, I say.	mn1	5	4	mn	1	The Root of All Things
mn1:6.1	They perceive air as air.	mn1	6	1	mn	1	The Root of All Things
mn1:6.2	Having perceived air as air, they conceive it to be air …	mn1	6	2	mn	1	The Root of All Things
mn1:6.3	Why is that?	mn1	6	3	mn	1	The Root of All Things
mn1:6.4	Because they haven’t completely understood it, I say.	mn1	6	4	mn	1	The Root of All Things
mn1:7.1	They perceive creatures as creatures.	mn1	7	1	mn	1	The Root of All Things
mn1:7.2	Having perceived creatures as creatures, they conceive them to be creatures …	mn1	7	2	mn	1	The Root of All Things
mn1:7.3	Why is that?	mn1	7	3	mn	1	The Root of All Things
mn1:7.4	Because they haven’t completely understood it, I say.	mn1	7	4	mn	1	The Root of All Things
mn1:8.1	They perceive gods as gods.	mn1	8	1	mn	1	The Root of All Things
mn1:8.2	Having perceived gods as gods, they conceive them to be gods …	mn1	8	2	mn	1	The Root of All Things
mn1:8.3	Why is that?	mn1	8	3	mn	1	The Root of All Things
mn1:8.4	Because they haven’t completely understood it, I say.	mn1	8	4	mn	1	The Root of All Things
mn1:9.1	They perceive the Progenitor as the Progenitor.	mn1	9	1	mn	1	The Root of All Things
mn1:9.2	Having perceived the Progenitor as the Progenitor, they conceive him to be the Progenitor …	mn1	9	2	mn	1	The Root of All Things
mn1:9.3	Why is that?	mn1	9	3	mn	1	The Root of All Things
mn1:9.4	Because they haven’t completely understood it, I say.	mn1	9	4	mn	1	The Root of All Things
mn1:10.1	They perceive the Divinity as the Divinity.	mn1	10	1	mn	1	The Root of All Things
mn1:10.2	Having perceived the Divinity as the Divinity, they conceive him to be the Divinity …	mn1	10	2	mn	1	The Root of All Things
mn1:10.3	Why is that?	mn1	10	3	mn	1	The Root of All Things
mn1:10.4	Because they haven’t completely understood it, I say.	mn1	10	4	mn	1	The Root of All Things
mn1:11.1	They perceive those of streaming radiance as those of streaming radiance.	mn1	11	1	mn	1	The Root of All Things
mn1:11.2	Having perceived those of streaming radiance as those of streaming radiance, they conceive them to be those of streaming radiance …	mn1	11	2	mn	1	The Root of All Things
mn1:11.3	Why is that?	mn1	11	3	mn	1	The Root of All Things
mn1:11.4	Because they haven’t completely understood it, I say.	mn1	11	4	mn	1	The Root of All Things
mn1:12.1	They perceive those of universal beauty as those of universal beauty.	mn1	12	1	mn	1	The Root of All Things
mn1:12.2	But then they conceive them to be those of universal beauty …	mn1	12	2	mn	1	The Root of All Things
mn1:12.3	Why is that?	mn1	12	3	mn	1	The Root of All Things
mn1:12.4	Because they haven’t completely understood it, I say.	mn1	12	4	mn	1	The Root of All Things
mn1:13.1	They perceive those of abundant fruit as those of abundant fruit.	mn1	13	1	mn	1	The Root of All Things
