segment_id	segment_text	comment_text
an1.1:0.1	Numbered Discourses 1.1–10	NA
an1.1:0.2	The Chapter on What Occupies the Mind	NA
an1.1:1.0	1	NA
an1.1:1.1	So I have heard.	This translation is meant to deliberately echo the English idiom “So I hear, so I’ve heard”. It means that it has been passed down in oral tradition.
an1.1:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.	NA
an1.1:1.3	There the Buddha addressed the mendicants,	NA
an1.1:1.4	“Mendicants!”	NA
an1.1:1.5	“Venerable sir,” they replied.	NA
an1.1:1.6	The Buddha said this:	NA
an1.1:2.1	“Mendicants, I do not see a single sight that occupies a man’s mind like the sight of a woman.	NA
an1.1:2.2	The sight of a woman occupies a man’s mind.”	NA
an1.2:1.0	2	NA
an1.2:1.1	“Mendicants, I do not see a single sound that occupies a man’s mind like the sound of a woman.	NA
an1.2:1.2	The sound of a woman occupies a man’s mind.”	NA
an1.3:1.0	3	NA
an1.3:1.1	“Mendicants, I do not see a single smell that occupies a man’s mind like the smell of a woman.	NA
an1.3:1.2	The smell of a woman occupies a man’s mind.”	NA
an1.4:1.0	4	NA
an1.4:1.1	“Mendicants, I do not see a single taste that occupies a man’s mind like the taste of a woman.	NA
an1.4:1.2	The taste of a woman occupies a man’s mind.”	NA
an1.5:1.0	5	NA
an1.5:1.1	“Mendicants, I do not see a single touch that occupies a man’s mind like the touch of a woman.	NA
an1.5:1.2	The touch of a woman occupies a man’s mind.”	NA
an1.6:1.0	6	NA
an1.6:1.1	“Mendicants, I do not see a single sight that occupies a woman’s mind like the sight of a man.	NA
an1.6:1.2	The sight of a man occupies a woman’s mind.”	NA
an1.7:1.0	7	NA
an1.7:1.1	“Mendicants, I do not see a single sound that occupies a woman’s mind like the sound of a man.	NA
an1.7:1.2	The sound of a man occupies a woman’s mind.”	NA
an1.8:1.0	8	NA
an1.8:1.1	“Mendicants, I do not see a single smell that occupies a woman’s mind like the smell of a man.	NA
an1.8:1.2	The smell of a man occupies a woman’s mind.”	NA
an1.9:1.0	9	NA
an1.9:1.1	“Mendicants, I do not see a single taste that occupies a woman’s mind like the taste of a man.	NA
an1.9:1.2	The taste of a man occupies a woman’s mind.”	NA
an1.10:1.0	10	NA
an1.10:1.1	“Mendicants, I do not see a single touch that occupies a woman’s mind like the touch of a man.	NA
an1.10:1.2	The touch of a man occupies a woman’s mind.”	NA
an1.11:0.1	Numbered Discourses 1.11–20	NA
an1.11:0.2	The Chapter on Giving Up the Hindrances	NA
an1.11:1.0	11	NA
an1.11:1.1	“Mendicants, I do not see a single thing that gives rise to sensual desire, or, when it has arisen, makes it increase and grow like the feature of beauty.	NA
an1.11:1.2	When you apply the mind irrationally to the feature of beauty, sensual desire arises, and once arisen it increases and grows.”	NA
an1.12:1.0	12	NA
an1.12:1.1	“Mendicants, I do not see a single thing that gives rise to ill will, or, when it has arisen, makes it increase and grow like the feature of harshness.	NA
