segment_id	segment_text	comment_text
dn1:0.1	Long Discourses 1	NA
dn1:0.2	The Divine Net	NA
dn1:1.0	1. Talk on Wanderers	NA
dn1:1.1.1	So I have heard.	Tradition holds that these were the words spoken by Ānanda when reciting the Suttapiṭaka at the First Council following the Buddha’s death. In fact it is a tag signifying that the text has been passed down through oral tradition and the speaker was not present at the events ([dn5:21.10](), [mn127:17.4]()). | This sutta with its commentary was translated by Bhikkhu Bodhi in his *The All-Embracing Net of Views*.
dn1:1.1.2	At one time the Buddha was traveling along the road between Rājagaha and Nāḷandā together with a large Saṅgha of five hundred mendicants.	By convention, suttas do not specify the date, so we have scant internal chronology. | Walk about fifteen kilometers north from Rājagaha (modern Rajgir) to reach Nāḷandā. | “Mendicant” is a literal translation of _bhikkhu_, one who goes for alms.
dn1:1.1.3	The wanderer Suppiya was also traveling along the same road, together with his resident pupil, the student Brahmadatta.	A “wanderer” (_paribbājaka_) was a homeless religious renunciate—male or female—who wandered seeking alms. Kauṭilya describes their lifestyle as “mastery of the senses, abstaining from ritual activities, living without possessions, abandoning attachments, practicing mendicancy, residing in the wilderness but not in a single place, and purifying himself internally and externally” (Arthaśāstra 1.3.12, Olivelle’s translation). | “Resident pupil” (or elsewhere just “pupil”) is _antevāsi_, a live-in apprentice of a master. | “Student” (_māṇava_) is a young man who was learning the Vedas from a master.
dn1:1.1.4	Meanwhile, Suppiya criticized the Buddha, the teaching, and the Saṅgha in many ways,	Today these are called the Triple Gem that makes up the Buddhist religion; however they are not known by that term in the early texts.
dn1:1.1.5	but his pupil Brahmadatta praised them in many ways.	While the disagreement of student and teacher signifies their confusion, it also represents the diversity of views within the brahmanical caste and the openness with which a student could disagree with their teacher.
dn1:1.1.6	And so both tutor and pupil followed behind the Buddha and the Saṅgha of mendicants directly contradicting each other.	NA
dn1:1.2.1	Then the Buddha took up residence for the night in the royal rest-house in Ambalaṭṭhikā together with the Saṅgha of mendicants.	Ambalaṭṭhikā means “place of mango saplings”. It was a rest-house set up by the king of Rājagaha about a day’s journey from the capital. It must have been sizable.
dn1:1.2.2	And Suppiya and Brahmadatta did likewise.	NA
dn1:1.2.3	There too, Suppiya criticized the Buddha, the teaching, and the Saṅgha in many ways,	NA
dn1:1.2.4	but his pupil Brahmadatta praised them in many ways.	NA
dn1:1.2.5	And so both tutor and pupil kept on directly contradicting each other.	NA
dn1:1.3.1	Then several mendicants rose at the crack of dawn and sat together in the pavilion, where the topic of judgmentalism came up:	_Saṅkhiyadhamma_ is a unique term. The commentary glosses it as _kathādhamma_, following which it has been translated as “conversation” or “trend of conversation”. But _saṅkhā_ means “appraisal, assessment, evaluation, measuring, calculating”, and here the subject of discussion is the different ways the two parties assess or judge the Buddha, Dhamma, and Saṅgha. Compare the “appraisal” of the Buddha at [dn19:19.2]().
dn1:1.3.2	“It’s incredible, reverends, it’s amazing how the diverse convictions of sentient beings have been well deciphered by the Blessed One, who knows and sees, the perfected one, the fully awakened Buddha.	_Adhimutti_ is something that has been decided, a conviction or belief.
dn1:1.3.3	For this Suppiya criticizes the Buddha, the teaching, and the Saṅgha in many ways,	NA
dn1:1.3.4	while his pupil Brahmadatta praises them in many ways.	NA
