segment_id	segment_text	comment_text
cp1:0.1	The Conduct Leading to Buddhahood	NA
cp1:0.2	The Chapter With Akitti	NA
cp1:0.3	The Perfection of Giving (1st)	NA
cp1:0.4	Akitti’s Conduct	NA
cp1:1.1	Homage to that Blessed One, the perfected one, the fully awakened Buddha!	NA
cp1:2.1	“For a hundred thousand eons	NA
cp1:2.2	and four incalculable ages,	NA
cp1:2.3	all my conduct in that period	NA
cp1:2.4	ripens in awakening.	NA
cp1:3.1	Setting aside my conduct	NA
cp1:3.2	in past eons through different lives,	NA
cp1:3.3	I shall speak of my conduct	NA
cp1:3.4	in this eon, hear me.	NA
cp1:4.1	When I lived having plunged	NA
cp1:4.2	into the formidable jungle	NA
cp1:4.3	of empty thickets and glades,	NA
cp1:4.4	my name was Akitti the mortifier.	NA
cp1:5.1	Then, burned by the fires of my mortification,	NA
cp1:5.2	the sovereign of the Third Heaven,	Namely Sakka AKA Indra.
cp1:5.3	came to me for alms	NA
cp1:5.4	in the form of a brahmin.	NA
cp1:6.1	I had gathered leaves from the forest	NA
cp1:6.2	without oil or salt,	NA
cp1:6.3	and seeing him standing at my door,	NA
cp1:6.4	I placed them in his pot.	NA
cp1:7.1	After giving him the leaves	NA
cp1:7.2	I turned over my plate,	NA
cp1:7.3	and having given up on seeking more food,	NA
cp1:7.4	I entered my hut of leaves.	NA
cp1:8.1	A second and a third time	NA
cp1:8.2	he came to me.	NA
cp1:8.3	Undisturbed, ungrasping,	NA
cp1:8.4	I gave in just the same way.	NA
cp1:9.1	That is the reason why	NA
cp1:9.2	my body is not discolored.	NA
cp1:9.3	In rapture and bliss free of relishing	NA
cp1:9.4	I spend the day.	NA
cp1:10.1	If even for a month or two	NA
cp1:10.2	I were to find a worthy recipient,	NA
cp1:10.3	undisturbed, unattached,	NA
cp1:10.4	I would give the supreme gift.	NA
cp1:11.1	While giving him that gift	NA
cp1:11.2	I did not wish for fame or profit.	NA
cp1:11.3	Wishing for omniscience	NA
cp1:11.4	I performed those deeds.”	NA
cp2:0.1	The Conduct Leading to Buddhahood	NA
cp2:0.2	The Chapter With Akitti	NA
cp2:0.3	The Perfection of Giving (2nd)	NA
cp2:0.4	Saṅkha’s Conduct	NA
cp2:1.1	“Then again when I was	NA
cp2:1.2	a brahmin called Saṅkha,	NA
cp2:1.3	wanting to cross the great ocean,	NA
cp2:1.4	I was on my way to the port.	NA
cp2:2.1	There I saw across the way	NA
cp2:2.2	one self-awakened, undefeated,	NA
cp2:2.3	walking a desert road	NA
cp2:2.4	whose ground was hot and rough.	NA
cp2:3.1	Seeing him across the way,	NA
cp2:3.2	I thought this:	NA
cp2:3.3	‘A field has appeared	NA
cp2:3.4	for a person desiring merit.	NA
cp2:4.1	Now suppose a farmer	NA
cp2:4.2	seeing a fertile field	NA
cp2:4.3	does not sow seed there,	NA
cp2:4.4	then they are not in need of grain.	NA
cp2:5.1	So too, if I, desiring merit,	NA
cp2:5.2	seeing a supreme excellent field,	NA
cp2:5.3	do not render service there,	NA
cp2:5.4	then I am not in need of merit.	NA
cp2:6.1	Or suppose a minister seeking the royal seal	NA
cp2:6.2	of authority over the people of the court,	NA
cp2:6.3	does not give them money and grain,	NA
cp2:6.4	their authority dwindles.	NA
cp2:7.1	So too, if I, desiring merit,	NA
cp2:7.2	seeing an abundantly worthy recipient,	NA
cp2:7.3	do not give gifts to them,	NA
cp2:7.4	I will dwindle in merit.’	NA
cp2:8.1	Reflecting in this way,	NA
cp2:8.2	I took off my sandals	NA
cp2:8.3	and bowed to his feet,	NA
cp2:8.4	giving him an umbrella and sandals.	NA
cp2:9.1	Though I was a hundred times	NA
cp2:9.2	more delicate and dainty than him,	NA
cp2:9.3	fulfilling my generosity,	NA
cp2:9.4	I gave like this to him.”	NA
cp3:0.1	The Conduct Leading to Buddhahood	NA
cp3:0.2	The Chapter With Akitti	NA
cp3:0.3	The Perfection of Giving (3rd)	NA
cp3:0.4	Kururāja’s Conduct	NA
cp3:1.1	“Then again when I reigned	NA
cp3:1.2	in Indapatta, the capital city,	Indrapastha, modern Delhi.
cp3:1.3	as the king named Dhanañjaya	NA
cp3:1.4	I was blessed with the ten skillful deeds.	NA
cp3:2.1	From the realm of Kaliṅga	NA
cp3:2.2	brahmins came to me	NA
cp3:2.3	requesting the royal elephant	NA
cp3:2.4	that was lucky and deemed auspicious.	NA
cp3:3.1	‘Our nation is suffering from drought,	NA
cp3:3.2	food is scarce and famine abounds,	NA
cp3:3.3	please give the noble elephant	NA
cp3:3.4	of midnight hue named Añjana.’	NA
cp3:4.1	‘When supplicants come to me	NA
cp3:4.2	it is unbefitting to refuse.	NA
cp3:4.3	Let not my vow be broken,	NA
cp3:4.4	I shall give the mighty elephant.’	NA
cp3:5.1	Taking the elephant by the trunk,	NA
cp3:5.2	and a bejeweled ceremonial vessel,	NA
cp3:5.3	I sprinkled water on the hand,	NA
cp3:5.4	and gave the elephant to the brahmins.	NA
cp3:6.1	When I had given the elephant,	NA
cp3:6.2	my ministers said,	NA
cp3:6.3	‘Why did you give the noble elephant	NA
cp3:6.4	to the supplicants?	NA
cp3:7.1	He was lucky and endowed with the auspicious,	NA
