segment_id	segment_text	comment_text
mn1:0.1	Middle Discourses 1	NA
mn1:0.2	The Root of All Things	NA
mn1:1.1	So I have heard.	Just as the Dīghanikāya begins with the complex and demanding Brahmajālasutta, the Majjhima opens with one of the most abstruse discourses in the canon. It examines the ways that the process of perception and identification evolves with progress on the path. It was translated, together with its commentary and extensive analysis, by Bhikkhu Bodhi as *The Discourse on the Root of Existence*. The commentarial background is also found in the Mūlapariyāya Jātaka ([ja245]()). The commentary connects this sutta with the Gotamakacetiyasutta ([an3.125]()), but there is no internal evidence to support this.
mn1:1.2	At one time the Buddha was staying near Ukkaṭṭhā, in the Subhaga Forest at the root of a magnificent sal tree.	Ukkaṭṭhā, near Sāvatthī, is mentioned only rarely, and always in the context of extraordinary teachings and events that emphasize the cosmic grandeur of the Buddha against the brahmins, likely because it was the home of the prominent Kosalan brahmin Pokkharasāti ([dn3:1.2.1](), [dn14:3.29.1](), [mn49:2.1]()).
mn1:1.3	There the Buddha addressed the mendicants,	NA
mn1:1.4	“Mendicants!”	The pattern of this discourse answers to such passages as Bṛhadāraṇyaka Upaniṣad 3.7, where Yājñavalkya expounds a series of principles in relation to which the “immortal self” is conceived. The commentary says that this discourse was delivered to a group of former brahmins who had become conceited when they learned the Buddha’s teaching. While the text certainly responds to ideas and methods of Brahmanical texts, that interpretation is not supported by the text.
mn1:1.5	“Venerable sir,” they replied.	NA
mn1:1.6	The Buddha said this:	NA
mn1:2.1	“Mendicants, I will teach you the explanation of the root of all things.	In his third discourse, speaking to Brahmanical ascetics, the Buddha reframed the “all” as the experience of the six senses ([sn35.28]()). The distinctive “conceiving” pattern of this sutta is therefore also applied to the “all” of the six senses ([sn35.30:1.19](), [sn35.90:3.7]()). More broadly, the same pattern is also applied to the “aggregates, elements, and sense fields” ([sn35.31:1.21](), [sn35.91:4.1]()). | The meaning of “root” is clarified later ([mn1:171.4]()) as “taking pleasure”, i.e. craving, which is the “root” of suffering.
mn1:2.2	Listen and apply your minds well, I will speak.”	NA
mn1:2.3	“Yes, sir,” they replied.	NA
mn1:2.4	The Buddha said this:	NA
mn1:3.1	“Take an unlearned ordinary person who has not seen the noble ones, and is neither skilled nor trained in the teaching of the noble ones. They’ve not seen true persons, and are neither skilled nor trained in the teaching of the true persons.	An “unlearned ordinary person”, who has not realized any of the stages of the noble path, is contrasted with one who has entered the path. | “Noble one” (_ariya_) loosely conveys the sense “cultured” or “civilized”; it is a term for the inheritors of the Aryan culture that originated among the proto-Indo-European peoples of the central Asian steppes. | “True person” (_sappurisa_) indicates one who is authentic and genuine in their realization of the truth, and hence is virtuous and good. Both “noble one” and “true person” are technical terms referring to any person who has at least entered the path to stream-entry.
mn1:3.2	They perceive earth as earth.	Although their perception (_saññā_) is accurate, to perceive something “as” something is to recognize it filtered through memory and concepts learned in the past, a subtle pre-processing that interprets present experience in light of expectations and desires. | The ending _-to_ here and throughout is the “ablative of perspective”, which is used with verbs of cognition to express the idea of seeing something in a certain light; for example, one contemplates the body “as impermanent” ([mn74:9.1]()).
mn1:3.3	Having perceived earth as earth, they conceive it to be earth, they conceive it in earth, they conceive it as earth, they conceive that ‘earth is mine’, they approve earth.	To “conceive” or “imagine” (_maññati_) is, according to the commentary, to think in terms of a “self”, proliferating experience through craving, conceit, or views until it is constructed *for me*. This usage draws upon such passages as Bṛhadāraṇyaka Upaniṣad 4.3.20, where due to ignorance, a person “imagines” in a dream the fearful things they saw when awake, or at the highest level, “imagines I am this all” (_ahamevedaṁ sarvo’smīti manyate_). | Each of the five phrases takes the “perception of earth as earth” and conceives, imagines, or construes that perception in progressively more differentiated and objectified ways, until it becomes something that is owned and enjoyed.
mn1:3.4	Why is that?	NA
mn1:3.5	Because they haven’t completely understood it, I say.	“Complete understanding” (_pariññā_) is the understanding of the arahant that permanently cuts through all delusions and conceits.
mn1:4.1	They perceive water as water.	The sutta proceeds through the four main physical elements or properties before proceeding to beings and then various deities. The difference between these things is not as clear-cut as one might think. The elements were worshiped as gods, while the gods were often anthropomorphized natural phenomena such as the sky (_deva_) or the sun (“streaming radiance”). To identify with a material element is to share the essence of a powerful force of nature. | A similar list, but with fewer items, is found starting at [mn49:11.1]().
mn1:4.2	Having perceived water as water, they conceive it to be water …	NA
mn1:4.3	Why is that?	NA
mn1:4.4	Because they haven’t completely understood it, I say.	NA
mn1:5.1	They perceive fire as fire.	NA
mn1:5.2	Having perceived fire as fire, they conceive it to be fire …	NA
mn1:5.3	Why is that?	NA
mn1:5.4	Because they haven’t completely understood it, I say.	NA
mn1:6.1	They perceive air as air.	NA
mn1:6.2	Having perceived air as air, they conceive it to be air …	NA
mn1:6.3	Why is that?	NA
mn1:6.4	Because they haven’t completely understood it, I say.	NA
mn1:7.1	They perceive creatures as creatures.	“Creatures” (_bhūta_) can refer to any living being, including humans and animals, as well as invisible entities such as ghosts.
mn1:7.2	Having perceived creatures as creatures, they conceive them to be creatures …	NA
mn1:7.3	Why is that?	NA
mn1:7.4	Because they haven’t completely understood it, I say.	NA
mn1:8.1	They perceive gods as gods.	“Gods” (_deva_) or “deities” (_devatā_) is a generic description of the many divine entities of ancient Indian belief. Some were inherited from the old Vedic theology, while others reflect local customs and beliefs. All are impermanent and subject to suffering.
mn1:8.2	Having perceived gods as gods, they conceive them to be gods …	NA
mn1:8.3	Why is that?	NA
mn1:8.4	Because they haven’t completely understood it, I say.	NA
mn1:9.1	They perceive the Progenitor as the Progenitor.	This is Pajāpati, the lonely creator god of Vedic belief. Having set the world in motion he was largely forgotten.
mn1:9.2	Having perceived the Progenitor as the Progenitor, they conceive him to be the Progenitor …	NA
mn1:9.3	Why is that?	NA
mn1:9.4	Because they haven’t completely understood it, I say.	NA
mn1:10.1	They perceive the Divinity as the Divinity.	Brahmā is also regarded as a creator, but in the sense of the underlying divine force that sustains the life of the cosmos. In Buddhism, several individual Brahmās appear, depicted as high deities who achieved their status due to the practice of first _jhāna_ in a past life.
mn1:10.2	Having perceived the Divinity as the Divinity, they conceive him to be the Divinity …	NA
mn1:10.3	Why is that?	NA
mn1:10.4	Because they haven’t completely understood it, I say.	NA
mn1:11.1	They perceive those of streaming radiance as those of streaming radiance.	This and the next two are higher Brahmā realms. Beings in this realm are sometimes called “gods” (_devā_). They achieved their status through the second, third, and fourth _jhānas_ respectively. Later Brahmanical texts mention a class of Ābhāsvara deities, but it does not appear to be a Vedic concept.
mn1:11.2	Having perceived those of streaming radiance as those of streaming radiance, they conceive them to be those of streaming radiance …	NA
mn1:11.3	Why is that?	NA
mn1:11.4	Because they haven’t completely understood it, I say.	NA
