segment_id	segment_text	comment_text
sn1.1:0.1	Linked Discourses 1.1	NA
sn1.1:0.2	1. A Reed	NA
sn1.1:0.3	Crossing the Flood	NA
sn1.1:1.1	So I have heard.	Bhikkhu Bodhi’s *Connected Discourses of the Buddha* includes extensive discussions of variant readings, as well as summaries of the commentary. I don’t replicate these here, but usually I follow Bodhi’s readings and note where I differ.
sn1.1:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s Monastery.	NA
sn1.1:1.3	Then, late at night, a glorious deity, lighting up the entire Jeta’s Grove, went up to the Buddha, bowed, stood to one side, and said to him,	“Deity” is _devatā_, which in Pali as in English is an abstract noun. Though feminine in grammatical gender, it does not imply that the deity is female.
sn1.1:1.4	“Good fellow, how did you cross the flood?”	“Good fellow” (_mārisa_; Sanskrit _mārṣa_, _māriṣa_) is a special term of address used by deities and sometimes by kings. The term harks back to Sanskrit _mādṛśa_, “one like me”, in the sense of having a comparable status. | The Buddha lived and taught in the Gangetic plain, a region characterized by deadly and unpredictable flooding.
sn1.1:1.5	“Neither standing nor swimming, good sir, I crossed the flood.”	That _āyūhati_ means “swim” is clear from [sn2.5:3.5]().
sn1.1:1.6	“But in what way did you cross the flood neither standing nor swimming?”	The deity’s counter-question shows that the Buddha’s answer was deliberately obscure.
sn1.1:1.7	“When I stood, I sank under.	NA
sn1.1:1.8	When I swam, I was swept away.	NA
sn1.1:1.9	That’s how I crossed the flood neither standing nor swimming.”	The teaching suggests a state of poised flow, where one is neither stuck in attachments, nor restlessly straining to get somewhere else.
sn1.1:2.1	“After a long time I see	NA
sn1.1:2.2	a brahmin fully quenched.	NA
sn1.1:2.3	Neither standing nor swimming,	NA
sn1.1:2.4	he’s crossed over clinging to the world.”	NA
sn1.1:3.1	This is what that deity said,	NA
sn1.1:3.2	and the teacher approved.	NA
sn1.1:3.3	NA	NA
sn1.1:3.4	Then that deity, knowing that the teacher approved, bowed and respectfully circled the Buddha, keeping him on his right, before vanishing right there.	NA
sn1.2:0.1	Linked Discourses 1.2	NA
sn1.2:0.2	1. A Reed	NA
sn1.2:0.3	Liberation	NA
sn1.2:1.1	At Sāvatthī.	From here, the Pali gives only the abbreviated setting or none at all. In such cases, we are meant to read the full introduction per [sn1.1]().
sn1.2:1.2	Then, late at night, a glorious deity, lighting up the entire Jeta’s Grove, went up to the Buddha, bowed, stood to one side, and said to him,	NA
sn1.2:2.1	“Good fellow, do you know the liberation, emancipation, and seclusion of sentient beings?”	NA
sn1.2:3.1	“I do, good sir.”	NA
sn1.2:4.1	“But how is it that you know the liberation, emancipation, and seclusion of sentient beings?”	NA
sn1.2:5.1	“Due to the ending of relish for rebirth;	The Buddha’s answer seems to mix a few lines of verse with some prose. This line is verse, as it has an unusual structure, best understood as due to the exigencies of metre, and where it occurs elsewhere it is always as verse. Also, this line and the next are metrical (_vatta_). The Chinese parallels at SA 1268 and SA-2 179 format the whole of the Buddha’s answer as prose, the verse being spoken by the deity at the end. Perhaps the Buddha quoted a couple of lines of verse in a prose sentence.
sn1.2:5.2	due to the finishing of perception and consciousness;	With this the Buddha differentiates himself from Yājnavalkya, for whom perception (limited awareness) ends, but consciousness (infinite awareness) is eternal (Bṛhadāraṇyaka Upaniṣad 2.4.12).
sn1.2:5.3	due to the cessation and stilling of feelings—	The Chinese parallels here speak of the liberation of the mind rather than the cessation of feelings. The textual problems seem insoluble and it appears the text is corrupt.
sn1.2:5.4	that, good sir, is how I know the liberation,	NA
sn1.2:5.5	emancipation, and seclusion of sentient beings.”	NA
sn1.3:0.1	Linked Discourses 1.3	NA
sn1.3:0.2	1. A Reed	NA
sn1.3:0.3	Led On	NA
sn1.3:1.1	At Sāvatthī.	NA
sn1.3:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.3:2.1	“This life, so very short, is led onward.	NA
sn1.3:2.2	One led on to old age has no shelter.	NA
sn1.3:2.3	Seeing this peril in death,	NA
sn1.3:2.4	do good deeds that bring you joy.”	NA
sn1.3:3.1	“This life, so very short, is led onward;	NA
sn1.3:3.2	one led on to old age has no shelter.	NA
sn1.3:3.3	Seeing this peril in death,	NA
sn1.3:3.4	a seeker of peace would drop the world’s bait.”	Whereas the first two discourses saw the deity asking a question, here they propose a conventional good, and the Buddha elevates it to the transcendental.
sn1.4:0.1	Linked Discourses 1.4	NA
sn1.4:0.2	1. A Reed	NA
sn1.4:0.3	Time Flies	NA
sn1.4:1.1	At Sāvatthī.	NA
sn1.4:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.4:2.1	“Time flies, nights pass by,	NA
sn1.4:2.2	the stages of life leave us one by one.	NA
sn1.4:2.3	Seeing this peril in death,	NA
sn1.4:2.4	do good deeds that bring you joy.”	NA
sn1.4:3.1	“Time flies, nights pass by,	NA
sn1.4:3.2	the stages of life leave us one by one.	NA
sn1.4:3.3	Seeing this peril in death,	NA
sn1.4:3.4	a seeker of peace would drop the world’s bait.”	NA
sn1.5:0.1	Linked Discourses 1.5	NA
sn1.5:0.2	1. A Reed	NA
sn1.5:0.3	Cut How Many?	NA
sn1.5:1.1	At Sāvatthī.	The redactors show their playful side here, placing this “riddle of fives” as the fifth sutta of the Saṁyutta. | The enigmatic repetition of “five” is reminiscent of Bṛhadāraṇyaka Upaniṣad 4.4.17: “Where the five groups of five and space are established, I regard that Self as the immortal Brahman, knowing which I am immortal.” Or perhaps it is a reference to the five great sacrifices, to sages, gods, ghosts, men and ancestors (Manu 4.21).
sn1.5:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.5:2.1	“Cut how many? Drop how many?	NA
sn1.5:2.2	Develop how many more?	NA
sn1.5:2.3	When a mendicant slips how many chains	NA
sn1.5:2.4	are they said to have crossed the flood?”	NA
sn1.5:3.1	“Five to cut, five to drop,	According to the commentary, the five lower fetters are cut, the five higher fetters are dropped, and the five faculties are developed.
sn1.5:3.2	and five more to develop.	NA
sn1.5:3.3	When a mendicant slips five chains	The “five chains” are not defined in the Suttas, but [vb17:238.1]() identifies them as greed, hate, delusion, conceit, and views.
sn1.5:3.4	they’re said to have crossed the flood.”	NA
sn1.6:0.1	Linked Discourses 1.6	NA
sn1.6:0.2	1. A Reed	NA
sn1.6:0.3	Awake	NA
sn1.6:1.1	At Sāvatthī.	NA
sn1.6:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.6:2.1	“How many sleep among the waking?	NA
sn1.6:2.2	How many wake among the sleeping?	NA
sn1.6:2.3	By how many do you gather dust?	NA
sn1.6:2.4	By how many are you cleansed?”	NA
sn1.6:3.1	“Five sleep among the waking.	This verse is found in Isibhāsiyāiṁ 29.2, where it is attributed to the Jain Vardhamāna Mahāvīra. His explanation there takes the “five” as the senses, which for the “waking” sages are “asleep” (i.e. restrained), while the unawakened “sleep” in ignorance while their “awakened’ senses run riot. The Pali commentaries, on the other hand, take them as the five spiritual faculties on the side of awakening, in contrast with the five hindrances.
sn1.6:3.2	Five wake among the sleeping.	NA
sn1.6:3.3	By five you gather dust.	NA
sn1.6:3.4	By five you’re cleansed.”	NA
sn1.7:0.1	Linked Discourses 1.7	NA
sn1.7:0.2	1. A Reed	NA
sn1.7:0.3	Not Comprehending	NA
sn1.7:1.1	At Sāvatthī.	NA
sn1.7:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.7:2.1	“Those have not deciphered the teachings	_Paṭividita_ (“deciphered”) is found only here and [dn1:1.3.2](), where it is likewise in the context of understanding views.
sn1.7:2.2	may be led astray by the doctrines of others.	NA
sn1.7:2.3	Asleep, they have not woken up:	NA
sn1.7:2.4	it is time for them to wake!”	NA
sn1.7:3.1	“Those who have well deciphered the teachings	NA
sn1.7:3.2	won’t be led astray by the doctrines of others.	NA
sn1.7:3.3	They have woken up, they rightly know,	NA
sn1.7:3.4	smoothly they walk in the rough.”	NA
sn1.8:0.1	Linked Discourses 1.8	NA
sn1.8:0.2	1. A Reed	NA
sn1.8:0.3	Very Confused	NA
sn1.8:1.1	At Sāvatthī.	NA
sn1.8:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.8:2.1	“Those who are very confused about the teachings	NA
sn1.8:2.2	may be led astray by the doctrines of others.	NA
sn1.8:2.3	Asleep, they have not woken up:	NA
sn1.8:2.4	it is time for them to wake!”	NA
sn1.8:3.1	“Those who are unconfused about the teachings,	NA
sn1.8:3.2	won’t be led astray by the doctrines of others.	NA
sn1.8:3.3	They have woken up, they rightly know,	NA
sn1.8:3.4	smoothly they walk in the rough.”	NA
sn1.9:0.1	Linked Discourses 1.9	NA
sn1.9:0.2	1. A Reed	NA
sn1.9:0.3	Fond of Conceit	NA
sn1.9:1.1	At Sāvatthī.	NA
sn1.9:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.9:2.1	“One fond of conceit can’t be tamed,	NA
sn1.9:2.2	no sage is lacking immersion.	NA
sn1.9:2.3	Living negligent alone in the wilderness,	NA
sn1.9:2.4	they can’t pass beyond Death’s dominion.”	NA
sn1.9:3.1	“Having given up conceit, serene within oneself,	NA
sn1.9:3.2	with a good heart, everywhere free;	NA
sn1.9:3.3	living diligent alone in the wilderness,	NA
sn1.9:3.4	they pass beyond Death’s dominion.”	NA
sn1.10:0.1	Linked Discourses 1.10	NA
sn1.10:0.2	1. A Reed	NA
sn1.10:0.3	Wilderness	NA
sn1.10:1.1	At Sāvatthī.	NA
sn1.10:1.2	Standing to one side, that deity addressed the Buddha in verse:	NA
sn1.10:2.1	“Living in the wilderness,	NA
sn1.10:2.2	peaceful spiritual practitioners	NA
sn1.10:2.3	eat just one meal a day:	NA
sn1.10:2.4	so why is their complexion so clear?”	NA
sn1.10:3.1	“They don’t grieve for the past,	Compare [mn131:3.1]().
sn1.10:3.2	nor do they pray for the future;	_Pajappanti _, from _jappa_, means both to “incant” and to “long for”, and the English “pray’ has exactly the same connotations—for exactly the same reasons. They originated in begging favors of a god.
sn1.10:3.3	they feed on whatever comes that day,	NA
sn1.10:3.4	that’s why their complexion’s so clear.	NA
sn1.10:4.1	Because they long for the future,	NA
sn1.10:4.2	and grieve for the past,	NA
sn1.10:4.3	fools wither away,	NA
sn1.10:4.4	like a green reed mowed down.”	NA
sn1.10:4.5	NA	NA
sn1.10:5.1	NA	NA
sn1.10:5.2	NA	NA
sn1.10:5.3	NA	NA
sn1.10:5.4	NA	NA
sn1.10:5.5	NA	NA
sn1.11:0.1	Linked Discourses 1.11	NA
sn1.11:0.2	2. The Garden of Delight	NA
sn1.11:0.3	The Garden of Delight	NA
sn1.11:1.1	So I have heard.	NA
sn1.11:1.2	At one time the Buddha was staying near Sāvatthī in Jeta’s Grove, Anāthapiṇḍika’s monastery.	NA
sn1.11:1.3	There the Buddha addressed the mendicants,	NA
sn1.11:1.4	“Mendicants!”	NA
sn1.11:1.5	“Venerable sir,” they replied.	NA
sn1.11:1.6	The Buddha said this:	NA
sn1.11:2.1	“Once upon a time, mendicants, a certain deity of the company of the thirty-three was amusing themselves in the Garden of Delight, escorted by a band of nymphs, and supplied and provided with the five kinds of heavenly sensual stimulation. On that occasion she recited this verse:	NA
sn1.11:3.1	‘They don’t know pleasure	NA
sn1.11:3.2	who don’t see the Garden of Delight!	NA
sn1.11:3.3	It’s the abode of lordly gods,	_Naradeva_ is a term for a king. Here and at [sn9.6:4.3]() it refers to the gods of the Thirty-Three, and at [thag20.1:41.1]() to Brahmā. At [cp5:1.3]() it apparently refers to the aristocrats who are “gods among men” (see Manu 11.82).
sn1.11:3.4	the glorious host of Thirty!’	_Tidasa_ (“thirty”) is a poetic abbreviation for the “thirty-three” gods. Noted as such in Kṣīrasvāmin’s Amarakośodghāṭana 1.1.7.
sn1.11:4.1	When they had spoken, another deity replied with this verse:	NA
sn1.11:5.1	‘Fool, don’t you understand	The vocative form _bāle_ suggests that a female deity is being addressed, which is certainly the case in the parallel passage at [sn9.6:5.1](). The commentary says that the speaker here is also a female deity.
sn1.11:5.2	the saying of the perfected ones:	NA
sn1.11:5.3	All conditions are impermanent,	This famous verse, which occurs many times in the Suttas, was spoken by the Buddha at [sn15.20:8.2]() and by Sakka, the lord of the thirty-three, at the Buddha’s passing ([sn6.15:6.2](), [dn16:6.10.11](). | In this context, _saṅkhārā_ means “conditions” or “conditioned phenomena” rather than “volitional actions”, “choices”. | The unusual reading _sabbasaṅkhārā_ (rather than _vata saṅkhārā_) recurs in the parallel passage at [sn9.6:5.3]().
sn1.11:5.4	their nature is to rise and fall;	NA
sn1.11:5.5	having arisen, they cease;	NA
sn1.11:5.6	their stilling is such bliss.’”	NA
sn1.12:0.1	Linked Discourses 1.12	NA
sn1.12:0.2	2. The Garden of Delight	NA
sn1.12:0.3	Delight	NA
sn1.12:1.1	At Sāvatthī.	NA
sn1.12:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.12:2.1	“Children bring you delight!	NA
sn1.12:2.2	Cattle also bring you delight!	NA
sn1.12:2.3	For attachments are a man’s delight;	NA
sn1.12:2.4	without attachments there’s no delight.”	NA
sn1.12:3.1	“Children bring you sorrow.	NA
sn1.12:3.2	Cattle also bring you sorrow.	NA
sn1.12:3.3	For attachments are a man’s sorrow;	“Attachment” here is _upadhi_, which is both the things of the world to which we cling, and the inner clinging (see [snp1.2](), [sn12.66]()). The Jains defined _upadhi_ similarly (Tattvārthasūtra 9.26). The dominant meaning in Sanskrit is “fraud”, which perhaps informs the Buddhist sense: the things we attach to give a false sense of security.
sn1.12:3.4	without attachments there are no sorrows.”	NA
sn1.13:0.1	Linked Discourses 1.13	NA
sn1.13:0.2	2. The Garden of Delight	NA
sn1.13:0.3	There’s Nothing Like a Child	NA
sn1.13:1.1	At Sāvatthī.	NA
sn1.13:1.2	Standing to one side, that deity recited this verse in the Buddha’s presence:	NA
sn1.13:2.1	“There’s no fondness like that for a child,	NA
sn1.13:2.2	no wealth equal to cattle,	Vājasaneyi Saṁhitā 23.48b says cattle have no measure.
sn1.13:2.3	no light like that of the sun,	These lines closely mirror the question at Vājasaneyi Saṁhitā 23.47a (quoted at Śatapatha Brāhmaṇa 13.5.2.13), “What light equals the sun? What lake equals the ocean?” The answers given in the next verse are “Brahmā” and “heaven”.
sn1.13:2.4	and of lakes the ocean is paramount.”	NA
sn1.13:3.1	“There’s no fondness like that for oneself,	The Theravada tradition, starting from the Vimuttimagga, begins the  meditation on love (_mettā_) by focusing on oneself, a practice that draws on passages such as this. See also [sn3.8](), [ud5.1](). Here the Pali uses _pema_ (“fondness”) rather than _mettā_ (“love”).
sn1.13:3.2	no wealth equal to grain,	NA
sn1.13:3.3	no light like that of wisdom,	NA
sn1.13:3.4	and of waters the rain is paramount.”	NA
sn1.14:0.1	Linked Discourses 1.14	NA
sn1.14:0.2	2. The Garden of Delight	NA
sn1.14:0.3	Aristocrats	NA
