segment_id	segment_text
pli-tv-bi-vb-as1:0.1	Theravāda Collection on Monastic Law 
pli-tv-bi-vb-as1:0.2	The nuns’ rules and their analysis 
pli-tv-bi-vb-as1:0.3	The settling of legal issues 
pli-tv-bi-vb-as1:1.1	Venerables, these seven principles for the settling of legal issues come up for recitation. 
pli-tv-bi-vb-as1:2.1	“For the settling and resolving of legal issues whenever they arise there is: 
pli-tv-bi-vb-as1:2.2	Resolution face-to-face to be applied; 
pli-tv-bi-vb-as2:1.1	Resolution through recollection to be granted; 
pli-tv-bi-vb-as3:1.1	Resolution because of past insanity to be granted; 
pli-tv-bi-vb-as4:1.1	Acting according to what has been admitted; 
pli-tv-bi-vb-as5:1.1	Majority decision; 
pli-tv-bi-vb-as6:1.1	Further penalty; 
pli-tv-bi-vb-as7:1.1	Covering over as if with grass. 
pli-tv-bi-vb-as7:2.1	Venerables, the seven principles for the settling of legal issues have been recited. 
pli-tv-bi-vb-as7:2.2	In regard to this I ask you, 
pli-tv-bi-vb-as7:2.3	‘Are you pure in this?’ 
pli-tv-bi-vb-as7:2.4	A second time I ask, 
pli-tv-bi-vb-as7:2.5	‘Are you pure in this?’ 
pli-tv-bi-vb-as7:2.6	A third time I ask, 
pli-tv-bi-vb-as7:2.7	‘Are you pure in this?’ 
pli-tv-bi-vb-as7:2.8	You are pure in this and therefore silent. I will remember it thus.” 
pli-tv-bi-vb-as7:3.1	The seven principles for the settling of legal issues are finished. 
pli-tv-bi-vb-as7:4.1	“Venerables, the introduction has been recited; 
pli-tv-bi-vb-as7:4.2	the eight rules on expulsion have been recited; 
pli-tv-bi-vb-as7:4.3	the seventeen rules on suspension have been recited; 
pli-tv-bi-vb-as7:4.4	the thirty rules on relinquishment and confession have been recited; 
pli-tv-bi-vb-as7:4.5	the one hundred and sixty-six rules on confession have been recited; 
pli-tv-bi-vb-as7:4.6	the eight rules on acknowledgment have been recited; 
pli-tv-bi-vb-as7:4.7	the rules to be trained in have been recited; 
pli-tv-bi-vb-as7:4.8	the seven principles for the settling of legal issues have been recited. 
pli-tv-bi-vb-as7:4.9	This much has come down and is included in the Monastic Code of the Buddha and comes up for recitation every half-month. 
pli-tv-bi-vb-as7:4.10	In regard to this everyone should train in unity, in concord, without dispute.” 
pli-tv-bi-vb-as7:4.11	The nuns’ rules and their analysis is finished. 
pli-tv-bi-vb-as7:5.1	The canonical text beginning with offenses entailing confession is finished. 
pli-tv-bi-vb-np10:0.1	Theravāda Collection on Monastic Law 
pli-tv-bi-vb-np10:0.2	The nuns’ rules and their analysis 
pli-tv-bi-vb-np10:0.3	The chapter on relinquishment 
pli-tv-bi-vb-np10:0.4	The sub-chapter on almsbowls 
pli-tv-bi-vb-np10:0.5	10. The training rule on exchanging what belongs to an individual 
pli-tv-bi-vb-np10:1.0	Origin story 
pli-tv-bi-vb-np10:1.1	At one time the Buddha was staying at Sāvatthī in the Jeta Grove, Anāthapiṇḍika’s Monastery. 
pli-tv-bi-vb-np10:1.2	At that time the nun Thullanandā was a learned reciter, and she was confident and skilled at giving teachings. 
pli-tv-bi-vb-np10:1.3	Many people visited her. 
pli-tv-bi-vb-np10:1.4	Just then the precincts of Thullanandā’s dwelling were falling apart. 
pli-tv-bi-vb-np10:1.5	People asked her why, 
pli-tv-bi-vb-np10:1.7	and she replied, “I have neither a donor, nor a worker.” 
pli-tv-bi-vb-np10:1.8	Then, after collecting voluntary contributions for the precincts of Thullanandā’s dwelling, the people gave the collected requisites to Thullanandā. 
pli-tv-bi-vb-np10:1.9	But even though she had asked for them, Thullanandā exchanged those requisites for tonics, which she then used. 
pli-tv-bi-vb-np10:1.10	When the people found out about this, they complained and criticized her, 
pli-tv-bi-vb-np10:1.11	“When personal requisites are designated for a specific purpose and were asked for, how could the nun Thullanandā exchange them for something else?” … 
pli-tv-bi-vb-np10:1.12	“Is it true, monks, that the nun Thullanandā did this?” 
pli-tv-bi-vb-np10:1.13	“It’s true, Sir.” 
pli-tv-bi-vb-np10:1.14	The Buddha criticized her … 
pli-tv-bi-vb-np10:1.15	“When personal requisites are designated for a specific purpose and were asked for, how could the nun Thullanandā exchange them for something else? 
pli-tv-bi-vb-np10:1.16	This won’t give rise to or increase people’s confidence … 
pli-tv-bi-vb-np10:1.17	And, monks, the nuns should recite this training rule like this: 
pli-tv-bi-vb-np10:1.18.0	Final ruling 
pli-tv-bi-vb-np10:1.18.1	‘When a personal requisite is designated for a specific purpose and was asked for, if a nun exchanges it for something else, she commits an offense entailing relinquishment and confession.’” 
pli-tv-bi-vb-np10:2.0	Definitions 
pli-tv-bi-vb-np10:2.1	A: 
pli-tv-bi-vb-np10:2.2	whoever … 
pli-tv-bi-vb-np10:2.3	Nun : 
pli-tv-bi-vb-np10:2.4	The nun who has been given the full ordination in unanimity by both Sanghas through a legal procedure consisting of one motion and three announcements that is irreversible and fit to stand—this sort of nun is meant in this case. 
pli-tv-bi-vb-np10:2.5	A requisite is designated for a specific purpose: 
pli-tv-bi-vb-np10:2.6	it was given for a specific purpose. 
pli-tv-bi-vb-np10:2.7	Personal: 
pli-tv-bi-vb-np10:2.8	belonging to an individual nun, not to the Sangha, not to a group. 
pli-tv-bi-vb-np10:2.9	Was asked for: 
pli-tv-bi-vb-np10:2.10	that she herself had asked for. 
pli-tv-bi-vb-np10:2.11	Exchanges it for something else: 
pli-tv-bi-vb-np10:2.12	if, apart from the purpose for which it was given, she exchanges it for something else, then for the effort there is an act of wrong conduct. 
pli-tv-bi-vb-np10:2.13	When she gets it, it becomes subject to relinquishment. 
pli-tv-bi-vb-np10:2.14	It is to be relinquished to the Sangha of nuns, a group, or an individual nun. 
pli-tv-bi-vb-np10:2.15	“And, monks, it’s to be relinquished like this. 
pli-tv-bi-vb-np10:2.16	(To be expanded as in Nuns’ Relinquishment 1, [](pli-tv-bi-vb-np1:2.1.21--2.1.43), with appropriate substitutions.) 
pli-tv-bi-vb-np10:2.17	‘Venerables, this thing, which I got in exchange for a personal requisite that was designated for a specific purpose and had been asked for, is to be relinquished. I relinquish it to the Sangha.’ … 
pli-tv-bi-vb-np10:2.18	the Sangha should give … 
pli-tv-bi-vb-np10:2.19	you should give … 
pli-tv-bi-vb-np10:2.20	‘I give this back to you.’” 
pli-tv-bi-vb-np10:2.21.0	Permutations 
pli-tv-bi-vb-np10:2.21.1	If it is for a specific purpose and she perceives that it is, and she exchanges it for something else, she commits an offense entailing relinquishment and confession. 
pli-tv-bi-vb-np10:2.22	If it is for a specific purpose, but she is unsure of it, and she exchanges it for something else, she commits an offense entailing relinquishment and confession. 
pli-tv-bi-vb-np10:2.23	If it is for a specific purpose, but she does not perceive that it is, and she exchanges it for something else, she commits an offense entailing relinquishment and confession. 
pli-tv-bi-vb-np10:2.24	When she receives in return what had been relinquished, it is to be used in accordance with the intention of the donors. 
pli-tv-bi-vb-np10:2.25	If it is not for a specific purpose, but she perceives that it is, she commits an offense of wrong conduct. 
pli-tv-bi-vb-np10:2.26	If it is not for a specific purpose, but she is unsure of it, she commits an offense of wrong conduct. 
pli-tv-bi-vb-np10:2.27	If it is not for a specific purpose, and she does not perceive that it is, there is no offense. 
pli-tv-bi-vb-np10:2.28.0	Non-offenses 
pli-tv-bi-vb-np10:2.28.1	There is no offense: 
pli-tv-bi-vb-np10:2.29	if she uses the remainder; 
pli-tv-bi-vb-np10:2.30	if she uses it after getting permission from the owners; 
pli-tv-bi-vb-np10:2.31	if there are dangers; 
pli-tv-bi-vb-np10:2.32	if she is insane; 
pli-tv-bi-vb-np10:2.33	if she is the first offender. 
pli-tv-bi-vb-np10:2.34	The tenth training rule is finished.
pli-tv-bi-vb-np11:0.1	Theravāda Collection on Monastic Law 
pli-tv-bi-vb-np11:0.2	The nuns’ rules and their analysis 
pli-tv-bi-vb-np11:0.3	The chapter on relinquishment 
pli-tv-bi-vb-np11:0.4	The sub-chapter on robes 
pli-tv-bi-vb-np11:0.5	11. The training rule on heavy cloaks 
pli-tv-bi-vb-np11:1.0	Origin story 
pli-tv-bi-vb-np11:1.1	At one time the Buddha was staying at Sāvatthī in the Jeta Grove, Anāthapiṇḍika’s Monastery. 
pli-tv-bi-vb-np11:1.2	At that time the nun Thullanandā was a learned reciter, and she was confident and skilled at giving teachings. 
pli-tv-bi-vb-np11:1.3	On one occasion when the weather was cold, king Pasenadi of Kosala dressed in an expensive woolen cloak and went to Thullanandā. He bowed and sat down. 
pli-tv-bi-vb-np11:1.4	And Thullanandā instructed, inspired, and gladdened him with a teaching. 
pli-tv-bi-vb-np11:1.5	He then said, 
pli-tv-bi-vb-np11:1.6	“Venerable, please say what you need.” 
pli-tv-bi-vb-np11:1.7	“Great king, if you wish to give me something, then give me this woolen cloak.” 
pli-tv-bi-vb-np11:1.8	The king gave her his cloak. He then got up from his seat, bowed down, circumambulated her with his right side toward her, and left. 
pli-tv-bi-vb-np11:1.9	People complained and criticized her, 
pli-tv-bi-vb-np11:1.10	“These nuns have great desires; they are not content. 
pli-tv-bi-vb-np11:1.11	How can they ask the king for his woolen cloak?” 
pli-tv-bi-vb-np11:1.12	The nuns heard the complaints of those people, 
pli-tv-bi-vb-np11:1.13	and the nuns of few desires complained and criticized her, 
pli-tv-bi-vb-np11:1.14	“How could Venerable Thullanandā ask the king for his woolen cloak?” … 
pli-tv-bi-vb-np11:1.15	“Is it true, monks, that the nun Thullanandā asked for this?” 
pli-tv-bi-vb-np11:1.16	“It’s true, Sir.” 
pli-tv-bi-vb-np11:1.17	The Buddha criticized her … 
pli-tv-bi-vb-np11:1.18	“How could the nun Thullanandā ask the king for his woolen cloak? 
pli-tv-bi-vb-np11:1.19	This won’t give rise to or increase people’s confidence … 
pli-tv-bi-vb-np11:1.20	And, monks, the nuns should recite this training rule like this: 
pli-tv-bi-vb-np11:1.21.0	Final ruling 
pli-tv-bi-vb-np11:1.21.1	‘If a nun carries out an exchange to get a heavy cloak, it is to be worth at most four _kaṁsa_ coins. If she gets one in exchange that is worth more than that, she commits an offense entailing relinquishment and confession.’” 
pli-tv-bi-vb-np11:2.1.0	Definitions 
pli-tv-bi-vb-np11:2.1.1	A heavy cloak: 
pli-tv-bi-vb-np11:2.1.2	whatever cloak is used in cold weather. 
pli-tv-bi-vb-np11:2.1.3	Carries out an exchange to get: 
pli-tv-bi-vb-np11:2.1.4	asks for. 
pli-tv-bi-vb-np11:2.1.5	It is to be worth at most four _kaṁsa_ coins: 
pli-tv-bi-vb-np11:2.1.6	it may be worth sixteen _kahāpaṇa_ coins. 
pli-tv-bi-vb-np11:2.1.7	If she gets one in exchange that is worth more than that: 
pli-tv-bi-vb-np11:2.1.8	if she asks for one worth more than that, then for the effort there is an act of wrong conduct. 
pli-tv-bi-vb-np11:2.1.9	When she gets it, it becomes subject to relinquishment. 
pli-tv-bi-vb-np11:2.1.10	It is to be relinquished to the Sangha of nuns, a group, or an individual nun. 
pli-tv-bi-vb-np11:2.1.11	“And, monks, it’s to be relinquished like this. 
pli-tv-bi-vb-np11:2.1.12	(To be expanded as in Nuns’ Relinquishment 1, [](pli-tv-bi-vb-np1:2.1.21--2.1.43), with appropriate substitutions.) 
pli-tv-bi-vb-np11:2.1.13	‘Venerables, this heavy cloak worth more than four _kaṁsa_ coins, which I got in exchange, is to be relinquished. I relinquish it to the Sangha.’ … 
pli-tv-bi-vb-np11:2.1.14	the Sangha should give … 
pli-tv-bi-vb-np11:2.1.15	you should give … 
pli-tv-bi-vb-np11:2.1.16	‘I give this back to you.’” 
pli-tv-bi-vb-np11:2.2.0	Permutations 
pli-tv-bi-vb-np11:2.2.1	If it is worth more than four _kaṁsa_ coins, and she perceives it as such, and she gets it in exchange, she commits an offense entailing relinquishment and confession. 
pli-tv-bi-vb-np11:2.2.2	If it is worth more than four _kaṁsa_ coins, but she is unsure of it, and she gets it in exchange, she commits an offense entailing relinquishment and confession. 
