segment_id	segment_text
pli-tv-pvr1.1:0.1	The Compendium
pli-tv-pvr1.1:0.2	The monks’ rules and their analysis
pli-tv-pvr1.1:0.3	Part one
pli-tv-pvr1.1:0.4	The section on “where it was laid down”
pli-tv-pvr1.1:0.5	1. The chapter on offenses entailing expulsion
pli-tv-pvr1.1:1.1	Homage to the Buddha, the Perfected One, the fully Awakened One
pli-tv-pvr1.1:2.1	“The first offense entailing expulsion was laid down by the Buddha who knows and sees, the Perfected One, the fully Awakened One. Where was it laid down? Whom is it about? What is it about?
pli-tv-pvr1.1:2.2	Is there a rule, an addition to the rule, an unprompted rule?
pli-tv-pvr1.1:2.3	Is it a rule that applies everywhere, or that applies in a particular place?
pli-tv-pvr1.1:2.4	Is it a rule that the monks and nuns have in common, or a rule they do not have in common?
pli-tv-pvr1.1:2.5	Is it a rule for one Sangha or for both Sanghas?
pli-tv-pvr1.1:2.6	In which of the five ways of reciting the Monastic Code is it immersed and included?
pli-tv-pvr1.1:2.7	In which recitation is it included?
pli-tv-pvr1.1:2.8	To which of the four kinds of failure does it belong?
pli-tv-pvr1.1:2.9	To which of the seven classes of offenses does it belong?
pli-tv-pvr1.1:2.10	Through how many of the six kinds of origins of offenses does it originate?
pli-tv-pvr1.1:2.11	To which of the four kinds of legal issues does it belong?
pli-tv-pvr1.1:2.12	Through how many of the seven principles for settling legal issues is it settled?
pli-tv-pvr1.1:2.13	What is the Monastic Law there? What is concerned with the Monastic Law there?
pli-tv-pvr1.1:2.14	What is the Monastic Code there? What is concerned with the Monastic Code there?
pli-tv-pvr1.1:2.15	What is failure?
pli-tv-pvr1.1:2.16	What is success?
pli-tv-pvr1.1:2.17	What is the practice?
pli-tv-pvr1.1:2.18	For how many reasons did the Buddha lay down the first offense entailing expulsion?
pli-tv-pvr1.1:2.19	Who are those who train?
pli-tv-pvr1.1:2.20	Who have done the training?
pli-tv-pvr1.1:2.21	Established in what?
pli-tv-pvr1.1:2.22	Who master it?
pli-tv-pvr1.1:2.23	Whose pronouncement was it?
pli-tv-pvr1.1:2.24	Who handed it down?”
pli-tv-pvr1.1:3.1	“The first offense entailing expulsion that was laid down by the Buddha who knows and sees, the Perfected One, the fully Awakened One—where was it laid down?”
pli-tv-pvr1.1:3.2	At Vesālī.
pli-tv-pvr1.1:3.3	“Whom is it about?”
pli-tv-pvr1.1:3.4	Sudinna the Kalandian.
pli-tv-pvr1.1:3.5	“What is it about?”
pli-tv-pvr1.1:3.6	Sudinna having sexual intercourse with his ex-wife.
pli-tv-pvr1.1:3.7	“Is there a rule, an addition to the rule, an unprompted rule?”
pli-tv-pvr1.1:3.8	There is one rule. There are two additions to the rule.
pli-tv-pvr1.1:3.9	There is no unprompted rule.
pli-tv-pvr1.1:3.10	“Is it a rule that applies everywhere, or that applies in a particular place?”
pli-tv-pvr1.1:3.11	That applies everywhere.
pli-tv-pvr1.1:3.12	“Is it a rule that the monks and nuns have in common, or a rule they do not have in common?”
pli-tv-pvr1.1:3.13	That the monks and nuns have in common.
pli-tv-pvr1.1:3.14	“Is it a rule for one Sangha or for both Sanghas?”
pli-tv-pvr1.1:3.15	For both Sanghas.
pli-tv-pvr1.1:3.16	“In which of the five ways of reciting the Monastic Code is it immersed and included?”
pli-tv-pvr1.1:3.17	In the introduction.
pli-tv-pvr1.1:3.18	“In which recitation is it included?”
pli-tv-pvr1.1:3.19	In the second recitation.
pli-tv-pvr1.1:3.20	“To which of the four kinds of failure does it belong?”
pli-tv-pvr1.1:3.21	Failure in morality.
pli-tv-pvr1.1:3.22	“To which of the seven classes of offenses does it belong?”
pli-tv-pvr1.1:3.23	The class of offenses entailing expulsion.
pli-tv-pvr1.1:3.24	“Through how many of the six kinds of origins of offenses does it originate?”
pli-tv-pvr1.1:3.25	It originates in one way:
pli-tv-pvr1.1:3.26	from body and mind, not from speech.
pli-tv-pvr1.1:3.27	“To which of the four kinds of legal issues does it belong?”
pli-tv-pvr1.1:3.28	Legal issues arising from an offense.
pli-tv-pvr1.1:3.29	“Through how many of the seven principles for settling legal issues is it settled?”
pli-tv-pvr1.1:3.30	Through two of them:
pli-tv-pvr1.1:3.31	by resolution face-to-face and by acting according to what has been admitted.
pli-tv-pvr1.1:3.32	“What is the Monastic Law there? What is concerned with the Monastic Law there?”
pli-tv-pvr1.1:3.33	The rules are the Monastic Law. Their analysis is concerned with the Monastic Law.
pli-tv-pvr1.1:3.34	“What is the Monastic Code there? What is concerned with the Monastic Code there?”
pli-tv-pvr1.1:3.35	The rules are the Monastic Code. Their analysis is concerned with the Monastic Code.
pli-tv-pvr1.1:3.36	“What is failure?”
pli-tv-pvr1.1:3.37	Lack of restraint.
pli-tv-pvr1.1:3.38	“What is success?”
pli-tv-pvr1.1:3.39	Restraint.
pli-tv-pvr1.1:3.40	“What is the practice?”
pli-tv-pvr1.1:3.41	Thinking, “I will not do such a thing,” one undertakes to train in the training rules for life.
pli-tv-pvr1.1:3.42	“For how many reasons did the Buddha lay down the first offense entailing expulsion?”
pli-tv-pvr1.1:3.43	He laid it down for the following ten reasons:
pli-tv-pvr1.1:3.44	for the well-being of the Sangha, for the comfort of the Sangha, for the restraint of bad people, for the ease of good monks, for the restraint of corruptions relating to the present life, for the restraint of corruptions relating to future lives, to give rise to confidence in those without it, to increase the confidence of those who have it, for the longevity of the true Teaching, and for supporting the training.
pli-tv-pvr1.1:3.45	“Who are those who train?”
pli-tv-pvr1.1:3.46	They are the trainees and the good ordinary people.
pli-tv-pvr1.1:3.47	“Who have done the training?”
pli-tv-pvr1.1:3.48	The perfected ones.
pli-tv-pvr1.1:3.49	“Established in what?”
pli-tv-pvr1.1:3.50	In fondness for the training.
pli-tv-pvr1.1:3.51	“Who master it?”
pli-tv-pvr1.1:3.52	Those who learn it.
pli-tv-pvr1.1:3.53	“Whose pronouncement was it?”
pli-tv-pvr1.1:3.54	It was the pronouncement of the Buddha, the Perfected One, the fully Awakened One.
pli-tv-pvr1.1:3.55	“Who handed it down?”
pli-tv-pvr1.1:3.56	The lineage:
pli-tv-pvr1.1:4.1	“Upāli and Dāsaka,
pli-tv-pvr1.1:4.2	Soṇaka and also Siggava;
pli-tv-pvr1.1:4.3	With Moggaliputta as the fifth—
pli-tv-pvr1.1:4.4	these were in India, the land named after the glorious rose apple.
pli-tv-pvr1.1:5.1	Then Mahinda, Iṭṭiya,
pli-tv-pvr1.1:5.2	Uttiya and also Sambala,
pli-tv-pvr1.1:5.3	And the wise one named Bhadda:
pli-tv-pvr1.1:6.1	These mighty beings of great wisdom,
pli-tv-pvr1.1:6.2	Came here from India,
pli-tv-pvr1.1:6.3	And they taught the Collection on Monastic Law
pli-tv-pvr1.1:6.4	in Sri Lanka,
pli-tv-pvr1.1:7.1	And the five Collections of Discourses,
pli-tv-pvr1.1:7.2	and the seven works of philosophy.
pli-tv-pvr1.1:7.3	Then Ariṭṭha the discerning,
pli-tv-pvr1.1:7.4	And the wise Tissadatta;
pli-tv-pvr1.1:8.1	The confident Kālasumana,
pli-tv-pvr1.1:8.2	The senior monk named Dīgha,
pli-tv-pvr1.1:8.3	And the wise Dīghasumana;
pli-tv-pvr1.1:9.1	Another Kālasumana,
pli-tv-pvr1.1:9.2	The senior monk Nāga and Buddharakkhita,
pli-tv-pvr1.1:9.3	The discerning senior monk Tissa,
pli-tv-pvr1.1:9.4	And the wise senior monk Deva;
pli-tv-pvr1.1:10.1	Another discerning Sumana,
pli-tv-pvr1.1:10.2	Confident in the Monastic Law,
pli-tv-pvr1.1:10.3	The learned Cūlanāga,
pli-tv-pvr1.1:10.4	Invincible, like an elephant,
pli-tv-pvr1.1:11.1	And the senior monk Dhammapālita;
pli-tv-pvr1.1:11.2	Rohaṇa, venerated as a saint,
pli-tv-pvr1.1:11.3	And his student Khema of great wisdom,
pli-tv-pvr1.1:11.4	A master of the three Collections,
pli-tv-pvr1.1:12.1	Like the king of the stars on the island,
pli-tv-pvr1.1:12.2	He outshone others in his wisdom;
pli-tv-pvr1.1:12.3	The discerning Upatissa,
pli-tv-pvr1.1:12.4	Phussadeva the great speaker,
pli-tv-pvr1.1:13.1	Another discerning Sumana,
pli-tv-pvr1.1:13.2	And the learned one named Puppha;
pli-tv-pvr1.1:13.3	Mahāsīva the great speaker,
pli-tv-pvr1.1:13.4	Skilled in the entire Collection,
pli-tv-pvr1.1:14.1	Another discerning Upāli,
pli-tv-pvr1.1:14.2	Confident in the Monastic Law,
pli-tv-pvr1.1:14.3	And Mahānāga of great wisdom,
pli-tv-pvr1.1:14.4	Skilled in the tradition of the true Teaching;
pli-tv-pvr1.1:15.1	Another discerning Abhaya,
pli-tv-pvr1.1:15.2	Skilled in the entire Collection,
pli-tv-pvr1.1:15.3	The discerning senior monk Tissa,
pli-tv-pvr1.1:15.4	Confident in the Monastic Law,
pli-tv-pvr1.1:16.1	And his student named Puppha,
pli-tv-pvr1.1:16.2	Of great wisdom and learning,
pli-tv-pvr1.1:16.3	Guarding Buddhism,
pli-tv-pvr1.1:16.4	He established himself in India;
pli-tv-pvr1.1:17.1	The discerning Cūlābhaya,
pli-tv-pvr1.1:17.2	Confident in the Monastic Law,
pli-tv-pvr1.1:17.3	And the discerning senior monk Tissa,
pli-tv-pvr1.1:17.4	Skilled in the tradition of the true Teaching;
pli-tv-pvr1.1:18.1	The discerning Cūladeva,
pli-tv-pvr1.1:18.2	Confident in the Monastic Law,
pli-tv-pvr1.1:18.3	And the discerning senior monk Siva,
pli-tv-pvr1.1:18.4	Skilled in the entire Monastic Law—
pli-tv-pvr1.1:19.1	These great beings of great wisdom,
pli-tv-pvr1.1:19.2	Knowers of the Monastic Law and skilled in the path,
pli-tv-pvr1.1:19.3	Proclaimed the Collection of Monastic Law
pli-tv-pvr1.1:19.4	On the island of Sri Lanka.”
pli-tv-pvr1.1:20.1	“The second offense entailing expulsion that was laid down by the Buddha who knows and sees, the Perfected One, the fully Awakened One—where was it laid down?”
pli-tv-pvr1.1:20.2	At Rājagaha.
pli-tv-pvr1.1:20.3	“Whom is it about?”
pli-tv-pvr1.1:20.4	Dhaniya the potter.
pli-tv-pvr1.1:20.5	“What is it about?”
pli-tv-pvr1.1:20.6	Dhaniya stealing timber from the king.
pli-tv-pvr1.1:20.7	There is one rule. There is one addition to the rule.
pli-tv-pvr1.1:20.8	“Through how many of the six kinds of origins of offenses does it originate?”
pli-tv-pvr1.1:20.9	It originates in three ways:
pli-tv-pvr1.1:20.10	from body and mind, not from speech; or
pli-tv-pvr1.1:20.11	from speech and mind, not from body; or
pli-tv-pvr1.1:20.12	from body, speech, and mind. …
pli-tv-pvr1.1:21.1	“The third offense entailing expulsion—where was it laid down?”
pli-tv-pvr1.1:21.2	At Vesālī.
pli-tv-pvr1.1:21.3	“Whom is it about?”
pli-tv-pvr1.1:21.4	A number monks.
pli-tv-pvr1.1:21.5	“What is it about?”
pli-tv-pvr1.1:21.6	Those monks killing one another.
pli-tv-pvr1.1:21.7	There is one rule. There is one addition to the rule.
pli-tv-pvr1.1:21.8	“Through how many of the six kinds of origins of offenses does it originate?”
pli-tv-pvr1.1:21.9	It originates in three ways:
pli-tv-pvr1.1:21.10	from body and mind, not from speech; or
pli-tv-pvr1.1:21.11	from speech and mind, not from body; or
pli-tv-pvr1.1:21.12	from body, speech, and mind. …
pli-tv-pvr1.1:22.1	“The fourth offense entailing expulsion—where was it laid down?”
pli-tv-pvr1.1:22.2	At Vesālī.
pli-tv-pvr1.1:22.3	“Whom is it about?”
pli-tv-pvr1.1:22.4	The monks from the banks of the Vaggumudā.
pli-tv-pvr1.1:22.5	“What is it about?”
pli-tv-pvr1.1:22.6	Those monks praising one another’s superhuman qualities to householders.
pli-tv-pvr1.1:22.7	There is one rule. There is one addition to the rule.
pli-tv-pvr1.1:22.8	“Through how many of the six kinds of origins of offenses does it originate?”
pli-tv-pvr1.1:22.9	It originates in three ways:
pli-tv-pvr1.1:22.10	from body and mind, not from speech; or
pli-tv-pvr1.1:22.11	from speech and mind, not from body; or
pli-tv-pvr1.1:22.12	from body, speech, and mind. …
pli-tv-pvr1.1:23.1	The four offenses entailing expulsion are finished.
pli-tv-pvr1.1:24.1	This is the summary:
pli-tv-pvr1.1:25.1	“Sexual intercourse, and stealing,
pli-tv-pvr1.1:25.2	Person, super.
pli-tv-pvr1.1:25.3	The four offenses entailing expulsion,
pli-tv-pvr1.1:25.4	Definitive grounds for cutting off.”
pli-tv-pvr1.1:26.0	2. The chapter on offenses entailing suspension
pli-tv-pvr1.1:26.1	“The offense entailing suspension for emitting semen by means of effort was laid down by the Buddha who knows and sees, the Perfected One, the fully Awakened One. Where was it laid down?
pli-tv-pvr1.1:26.2	Whom is it about?
pli-tv-pvr1.1:26.3	What is it about?
pli-tv-pvr1.1:26.4	Is there a rule, an addition to the rule, an unprompted rule?
pli-tv-pvr1.1:26.5	Is it a rule that applies everywhere, or that applies in a particular place?
pli-tv-pvr1.1:26.6	Is it a rule that the monks and nuns have in common, or a rule they do not have in common?
pli-tv-pvr1.1:26.7	Is it a rule for one Sangha or for both Sanghas?
pli-tv-pvr1.1:26.8	In which of the five ways of reciting the Monastic Code is it immersed and included?
pli-tv-pvr1.1:26.9	In which recitation is it included?
pli-tv-pvr1.1:26.10	To which of the four kinds of failure does it belong?
pli-tv-pvr1.1:26.11	To which of the seven classes of offenses does it belong?
pli-tv-pvr1.1:26.12	Through how many of the six kinds of origins of offenses does it originate?
pli-tv-pvr1.1:26.13	To which of the four kinds of legal issues does it belong?
pli-tv-pvr1.1:26.14	Through how many of the seven principles for settling legal issues is it settled?
pli-tv-pvr1.1:26.15	What is the Monastic Law there? What is concerned with the Monastic Law there?
pli-tv-pvr1.1:26.16	What is the Monastic Code there? What is concerned with the Monastic Code there?
pli-tv-pvr1.1:26.17	What is failure? What is success? What is the practice?
pli-tv-pvr1.1:26.18	For how many reasons did the Buddha lay down the offense entailing suspension for emitting semen by means of effort?
pli-tv-pvr1.1:26.19	Who are those who train? Who have done the training?
pli-tv-pvr1.1:26.20	Established in what?
pli-tv-pvr1.1:26.21	Who master it?
pli-tv-pvr1.1:26.22	Whose pronouncement was it?
pli-tv-pvr1.1:26.23	Who handed it down?”
