segment_id	segment_text	comment_text
pli-tv-pvr1.1:0.1	The Compendium	NA
pli-tv-pvr1.1:0.2	The Monks’ Analysis	NA
pli-tv-pvr1.1:0.3	Part one	NA
pli-tv-pvr1.1:0.4	Questions and answers on the monks’ Monastic Code and its analysis	NA
pli-tv-pvr1.1:0.5	The chapter on offenses entailing expulsion	NA
pli-tv-pvr1.1:1.1	Homage to the Buddha, the Perfected One, the fully Awakened One	NA
pli-tv-pvr1.1:2.1	“The first offense entailing expulsion was laid down by the Buddha who knows and sees, the Perfected One, the fully Awakened One. Where was it laid down? Whom is it about? What is it about?	NA
pli-tv-pvr1.1:2.2	Is there a rule, an addition to the rule, an unprompted rule?	Sp 5.2: _Ayañhi anuppannapaññatti nāma anuppanne dose paññattā; sā aṭṭhagarudhammavasena bhikkhunīnaṁyeva āgatā, aññatra natthi_, “Laid down when no fault has occurred, this is called _anuppannapaññatti_. It has come down for the nuns on account of the eight important principles. There are no other cases.”
pli-tv-pvr1.1:2.3	Is it a rule that applies everywhere or in a particular place?	NA
pli-tv-pvr1.1:2.4	Is it a rule that the monks and nuns have in common or not in common?	NA
pli-tv-pvr1.1:2.5	Is it a rule for one Sangha or for both?	NA
pli-tv-pvr1.1:2.6	In which of the five ways of reciting the Monastic Code is it contained and included?	NA
pli-tv-pvr1.1:2.7	In which recitation is it included?	NA
pli-tv-pvr1.1:2.8	To which of the four kinds of failure does it belong?	NA
pli-tv-pvr1.1:2.9	To which of the seven classes of offenses does it belong?	NA
pli-tv-pvr1.1:2.10	Through how many of the six kinds of originations of offenses does it originate?	NA
pli-tv-pvr1.1:2.11	To which of the four kinds of legal issues does it belong?	NA
pli-tv-pvr1.1:2.12	Through how many of the seven principles for settling legal issues is it settled?	NA
pli-tv-pvr1.1:2.13	What is the Monastic Law there? What is concerned with the Monastic Law there?	NA
pli-tv-pvr1.1:2.14	What is the Monastic Code there? What is concerned with the Monastic Code there?	NA
pli-tv-pvr1.1:2.15	What is failure?	NA
pli-tv-pvr1.1:2.16	What is success?	NA
pli-tv-pvr1.1:2.17	What is the practice?	NA
pli-tv-pvr1.1:2.18	For how many reasons did the Buddha lay down the first offense entailing expulsion?	NA
pli-tv-pvr1.1:2.19	Who are those who train?	NA
