segment_id	segment_text
mn1:0.1	Majjhima Nikāya 1
mn1:0.2	Mūlapariyāyasutta
mn1:1.1	Evaṁ me sutaṁ—
mn1:1.2	ekaṁ samayaṁ bhagavā ukkaṭṭhāyaṁ viharati subhagavane sālarājamūle.
mn1:1.3	Tatra kho bhagavā bhikkhū āmantesi:
mn1:1.4	“bhikkhavo”ti.
mn1:1.5	“Bhadante”ti te bhikkhū bhagavato paccassosuṁ.
mn1:1.6	Bhagavā etadavoca:
mn1:2.1	“sabbadhammamūlapariyāyaṁ vo, bhikkhave, desessāmi.
mn1:2.2	Taṁ suṇātha, sādhukaṁ manasi karotha, bhāsissāmī”ti.
mn1:2.3	“Evaṁ, bhante”ti kho te bhikkhū bhagavato paccassosuṁ.
mn1:2.4	Bhagavā etadavoca:
mn1:3.1	“Idha, bhikkhave, assutavā puthujjano ariyānaṁ adassāvī ariyadhammassa akovido ariyadhamme avinīto, sappurisānaṁ adassāvī sappurisadhammassa akovido sappurisadhamme avinīto—
mn1:3.2	pathaviṁ pathavito sañjānāti;
mn1:3.3	pathaviṁ pathavito saññatvā pathaviṁ maññati, pathaviyā maññati, pathavito maññati, pathaviṁ meti maññati, pathaviṁ abhinandati.
mn1:3.4	Taṁ kissa hetu?
mn1:3.5	‘Apariññātaṁ tassā’ti vadāmi.
mn1:4.1	Āpaṁ āpato sañjānāti;
mn1:4.2	āpaṁ āpato saññatvā āpaṁ maññati, āpasmiṁ maññati, āpato maññati, āpaṁ meti maññati, āpaṁ abhinandati.
mn1:4.3	Taṁ kissa hetu?
mn1:4.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:5.1	Tejaṁ tejato sañjānāti;
mn1:5.2	tejaṁ tejato saññatvā tejaṁ maññati, tejasmiṁ maññati, tejato maññati, tejaṁ meti maññati, tejaṁ abhinandati.
mn1:5.3	Taṁ kissa hetu?
mn1:5.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:6.1	Vāyaṁ vāyato sañjānāti;
mn1:6.2	vāyaṁ vāyato saññatvā vāyaṁ maññati, vāyasmiṁ maññati, vāyato maññati, vāyaṁ meti maññati, vāyaṁ abhinandati.
mn1:6.3	Taṁ kissa hetu?
mn1:6.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:7.1	Bhūte bhūtato sañjānāti;
mn1:7.2	bhūte bhūtato saññatvā bhūte maññati, bhūtesu maññati, bhūtato maññati, bhūte meti maññati, bhūte abhinandati.
mn1:7.3	Taṁ kissa hetu?
mn1:7.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:8.1	Deve devato sañjānāti;
mn1:8.2	deve devato saññatvā deve maññati, devesu maññati, devato maññati, deve meti maññati, deve abhinandati.
mn1:8.3	Taṁ kissa hetu?
mn1:8.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:9.1	Pajāpatiṁ pajāpatito sañjānāti;
mn1:9.2	pajāpatiṁ pajāpatito saññatvā pajāpatiṁ maññati, pajāpatismiṁ maññati, pajāpatito maññati, pajāpatiṁ meti maññati, pajāpatiṁ abhinandati.
mn1:9.3	Taṁ kissa hetu?
mn1:9.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:10.1	Brahmaṁ brahmato sañjānāti;
mn1:10.2	brahmaṁ brahmato saññatvā brahmaṁ maññati, brahmasmiṁ maññati, brahmato maññati, brahmaṁ meti maññati, brahmaṁ abhinandati.
mn1:10.3	Taṁ kissa hetu?
mn1:10.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:11.1	Ābhassare ābhassarato sañjānāti;
mn1:11.2	ābhassare ābhassarato saññatvā ābhassare maññati, ābhassaresu maññati, ābhassarato maññati, ābhassare meti maññati, ābhassare abhinandati.
mn1:11.3	Taṁ kissa hetu?
mn1:11.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:12.1	Subhakiṇhe subhakiṇhato sañjānāti;
mn1:12.2	subhakiṇhe subhakiṇhato saññatvā subhakiṇhe maññati, subhakiṇhesu maññati, subhakiṇhato maññati, subhakiṇhe meti maññati, subhakiṇhe abhinandati.
mn1:12.3	Taṁ kissa hetu?
mn1:12.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:13.1	Vehapphale vehapphalato sañjānāti;
mn1:13.2	vehapphale vehapphalato saññatvā vehapphale maññati, vehapphalesu maññati, vehapphalato maññati, vehapphale meti maññati, vehapphale abhinandati.
mn1:13.3	Taṁ kissa hetu?
mn1:13.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:14.1	Abhibhuṁ abhibhuto sañjānāti;
mn1:14.2	abhibhuṁ abhibhuto saññatvā abhibhuṁ maññati, abhibhusmiṁ maññati, abhibhuto maññati, abhibhuṁ meti maññati, abhibhuṁ abhinandati.
mn1:14.3	Taṁ kissa hetu?
mn1:14.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:15.1	Ākāsānañcāyatanaṁ ākāsānañcāyatanato sañjānāti;
mn1:15.2	ākāsānañcāyatanaṁ ākāsānañcāyatanato saññatvā ākāsānañcāyatanaṁ maññati, ākāsānañcāyatanasmiṁ maññati, ākāsānañcāyatanato maññati, ākāsānañcāyatanaṁ meti maññati, ākāsānañcāyatanaṁ abhinandati.
mn1:15.3	Taṁ kissa hetu?
mn1:15.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:16.1	Viññāṇañcāyatanaṁ viññāṇañcāyatanato sañjānāti;
mn1:16.2	viññāṇañcāyatanaṁ viññāṇañcāyatanato saññatvā viññāṇañcāyatanaṁ maññati, viññāṇañcāyatanasmiṁ maññati, viññāṇañcāyatanato maññati, viññāṇañcāyatanaṁ meti maññati, viññāṇañcāyatanaṁ abhinandati.
mn1:16.3	Taṁ kissa hetu?
mn1:16.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:17.1	Ākiñcaññāyatanaṁ ākiñcaññāyatanato sañjānāti;
mn1:17.2	ākiñcaññāyatanaṁ ākiñcaññāyatanato saññatvā ākiñcaññāyatanaṁ maññati, ākiñcaññāyatanasmiṁ maññati, ākiñcaññāyatanato maññati, ākiñcaññāyatanaṁ meti maññati, ākiñcaññāyatanaṁ abhinandati.
mn1:17.3	Taṁ kissa hetu?
mn1:17.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:18.1	Nevasaññānāsaññāyatanaṁ nevasaññānāsaññāyatanato sañjānāti;
mn1:18.2	nevasaññānāsaññāyatanaṁ nevasaññānāsaññāyatanato saññatvā nevasaññānāsaññāyatanaṁ maññati, nevasaññānāsaññāyatanasmiṁ maññati, nevasaññānāsaññāyatanato maññati, nevasaññānāsaññāyatanaṁ meti maññati, nevasaññānāsaññāyatanaṁ abhinandati.
mn1:18.3	Taṁ kissa hetu?
mn1:18.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:19.1	Diṭṭhaṁ diṭṭhato sañjānāti;
mn1:19.2	diṭṭhaṁ diṭṭhato saññatvā diṭṭhaṁ maññati, diṭṭhasmiṁ maññati, diṭṭhato maññati, diṭṭhaṁ meti maññati, diṭṭhaṁ abhinandati.
mn1:19.3	Taṁ kissa hetu?
mn1:19.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:20.1	Sutaṁ sutato sañjānāti;
mn1:20.2	sutaṁ sutato saññatvā sutaṁ maññati, sutasmiṁ maññati, sutato maññati, sutaṁ meti maññati, sutaṁ abhinandati.
mn1:20.3	Taṁ kissa hetu?
mn1:20.4	‘Apariññātaṁ tassā’ti vadāmi.
mn1:21.1	Mutaṁ mutato sañjānāti;
